Pizza,Topping,Salami,Ham,Mozzarella,Size,Normal,Big,Dough,Neapolitan,Sicilian,CheesyCrust,Attribute,Attribute1,Attribute2
True,True,True,False,False,True,True,False,True,True,False,False,2,7,8
True,True,True,True,False,True,True,False,True,True,False,False,10,2,7
True,True,True,True,True,True,True,False,True,True,False,False,1,3,1
True,True,True,True,True,True,False,True,True,True,False,False,3,1,10
True,True,True,True,True,True,False,True,True,False,True,False,7,9,3
True,True,False,True,True,True,False,True,True,False,True,False,3,6,6
True,True,False,False,True,True,False,True,True,False,True,False,10,4,7
True,True,False,False,True,True,False,True,True,False,True,True,9,9,9
True,True,True,False,True,True,False,True,True,False,True,True,2,10,2
True,True,True,False,False,True,False,True,True,False,True,True,2,0,4
True,True,True,True,False,True,False,True,True,False,True,True,4,6,2
True,True,True,True,False,True,False,True,True,False,True,False,1,0,4
True,True,False,True,False,True,False,True,True,False,True,False,3,1,4
True,True,False,False,True,True,False,True,True,True,False,False,3,6,0
True,True,False,False,True,True,False,True,True,True,False,True,5,8,5
True,True,True,False,True,True,False,True,True,True,False,True,10,10,3
True,True,True,False,False,True,False,True,True,True,False,True,7,4,4
True,True,True,True,False,True,False,True,True,True,False,True,10,1,4
True,True,True,True,False,True,False,True,True,True,False,False,8,3,5
True,True,False,True,False,True,False,True,True,True,False,False,7,5,1
True,True,False,True,True,True,False,True,True,True,False,False,7,9,3
True,True,False,True,True,True,False,True,True,True,False,True,10,1,2
True,True,True,True,True,True,False,True,True,True,False,True,9,5,3
True,True,False,True,False,True,False,True,True,True,False,True,8,9,6
True,True,False,True,True,True,False,True,True,False,True,True,1,2,4
True,True,False,True,False,True,False,True,True,False,True,True,6,1,5
True,True,True,True,False,True,True,False,True,False,True,False,5,1,8
True,True,True,False,False,True,True,False,True,False,True,False,3,9,0
True,True,True,False,False,True,False,True,True,False,True,False,7,9,2
True,True,True,False,False,True,False,True,True,True,False,False,3,1,1
True,True,True,True,True,True,True,False,True,False,True,False,9,0,7
True,True,True,True,True,True,False,True,True,False,True,True,2,0,8
True,True,True,False,True,True,False,True,True,True,False,False,9,1,2
True,True,True,False,True,True,True,False,True,True,False,False,5,4,0
True,True,True,False,True,True,True,False,True,False,True,False,10,1,10
True,True,True,False,True,True,False,True,True,False,True,False,3,0,3
True,True,False,False,True,True,True,False,True,False,True,False,7,0,6
True,True,False,True,True,True,True,False,True,False,True,False,1,8,4
True,True,False,True,True,True,True,False,True,True,False,False,3,0,7
True,True,False,False,True,True,True,False,True,True,False,False,5,1,9
True,True,False,True,False,True,True,False,True,True,False,False,6,3,7
True,True,False,True,False,True,True,False,True,False,True,False,10,6,8
