abstract Root
	0..* F2
		0..1 F3
			0..2 F4
				2..3 F5
					2..2 F6
						1..3 F7
							2..4 F8
								0..* F9
									3..4 F10
										2..2 F11
											3..4 F12
												1..2 F13
													1..1 F14
														0..2 F15
															1..* F16
																0..2 F17
																	3..4 F18
																		2..2 F19
																			3..4 F20
																				1..2 F21
																					1..1 F22
																						0..3 F23
																							1..1 F24
																								1..3 F25
																									1..* F26
																										0..* F27
																											1..2 F28
																												2..3 F29
																													2..4 F30
																														0..1 F31
																															2..4 F32
																																1..3 F33
																																	0..* F34
																																		0..3 F35
																																			1..1 F36
																																				2..2 F37
																																					1..2 F38
																																						1..3 F39
																																							0..3 F40
																																								0..2 F41
																																									2..4 F42
																																										1..3 F43
																																											1..2 F44
																																												2..3 F45
																																													0..1 F46
																																														0..3 F47
																																															2..4 F48
																																																3..3 F49
																																																	3..3 F50
																																																		3..4 F51
																																																			1..1 F52
																																																				0..1 F53
																																																					0..1 F54
																																																						2..2 F55
																																																							1..2 F56
																																																								3..4 F57
																																																									3..4 F58
																																																										0..3 F59
																																																											0..1 F60
																																																												1..* F61
																																																													3..3 F62
																																																														0..1 F63
																																																															1..3 F64
																																																																2..3 F65
																																																																	3..3 F66
																																																																		4..4 F67
																																																																			0..1 F68
																																																																				1..3 F69
																																																																					1..3 F70
																																																																						2..3 F71
																																																																							3..4 F72
																																																																								0..3 F73
																																																																									0..2 F74
																																																																										3..4 F75
																																																																											0..1 F76
																																																																												2..4 F77
																																																																													1..* F78
																																																																														3..4 F79
																																																																															2..2 F80
																																																																																0..1 F81
																																																																																	2..3 F82
																																																																																		2..3 F83
																																																																																			0..2 F84
																																																																																				1..* F85
																																																																																					1..2 F86
																																																																																						2..3 F87
																																																																																							0..1 F88
																																																																																								1..2 F89
																																																																																									3..4 F90
																																																																																										1..2 F91
																																																																																											0..1 F92
																																																																																												4..4 F93
																																																																																													1..* F94
																																																																																														2..2 F95
																																																																																															2..4 F96
																																																																																																3..3 F97
																																																																																																	1..2 F98
																																																																																																		2..3 F99
																																																																																																			1..* F100
																																																																																																				0..* F101
																																																																																																					0..* F102
																																																																																																						1..1 F103
																																																																																																							1..1 F104
																																																																																																								2..4 F105
																																																																																																									1..2 F106
																																																																																																										0..* F107
																																																																																																											2..3 F108
																																																																																																												0..3 F109
																																																																																																													3..4 F110
																																																																																																														1..1 F111
																																																																																																															0..3 F112
																																																																																																																2..4 F113
																																																																																																																	1..1 F114
																																																																																																																		3..4 F115
																																																																																																																			1..* F116
																																																																																																																				1..3 F117
																																																																																																																					0..* F118
																																																																																																																						1..* F119
																																																																																																																							2..4 F120
																																																																																																																								1..* F121
																																																																																																																									0..* F122
																																																																																																																										3..3 F123
																																																																																																																											3..4 F124
																																																																																																																												4..4 F125
																																																																																																																													0..* F126
																																																																																																																														3..3 F127
																																																																																																																															0..* F128
																																																																																																																																1..1 F129
																																																																																																																																	3..3 F130
																																																																																																																																		2..2 F131
																																																																																																																																			2..2 F132
																																																																																																																																				1..* F133
																																																																																																																																					2..4 F134
																																																																																																																																						1..3 F135
																																																																																																																																							4..4 F136
																																																																																																																																								0..3 F137
																																																																																																																																									0..3 F138
																																																																																																																																										0..2 F139
																																																																																																																																											3..3 F140
																																																																																																																																												2..2 F141
																																																																																																																																													1..2 F142
																																																																																																																																														1..1 F143
																																																																																																																																															3..4 F144
																																																																																																																																																1..3 F145
																																																																																																																																																	0..* F146
																																																																																																																																																		1..3 F147
																																																																																																																																																			3..4 F148
																																																																																																																																																				2..4 F149
																																																																																																																																																					0..* F150
																																																																																																																																																						2..3 F151
