nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
250,250,13,0,0.05,0,156,94,0,0,13,9.883966490936776E-4,9.546999353915453E-4,5.271468767200848E-5
250,250,25,0,0.1,0,166,84,0,0,25,0.0012911800062283874,0.0012612000573426485,5.4930676955575544E-5
250,250,38,0,0.15,0,197,53,0,0,38,0.0013494899962097407,0.0013416999718174338,7.909816626087575E-5
250,250,50,0,0.2,0,211,39,0,0,50,0.0019915466740106544,0.0020022999960929155,7.012335955332894E-5
500,500,25,0,0.05,0,334,166,0,0,25,0.002206813326726357,0.0022537000477313995,9.41793912226288E-5
500,500,50,0,0.1,0,355,145,0,0,50,0.0029606233273322385,0.0029317999724298716,1.0486860930848655E-4
500,500,75,0,0.15,0,399,101,0,0,75,0.003969606667912255,0.003926600096747279,1.764445021518212E-4
500,500,100,0,0.2,0,428,72,0,0,100,0.00395534000514696,0.003930100006982684,9.39474967902002E-5
750,750,38,0,0.05,0,466,284,0,0,38,0.0036902533378452063,0.0036597999278455973,1.1797226606975558E-4
750,750,75,0,0.1,0,527,223,0,0,75,0.005229046661406755,0.0051772999577224255,1.204302151048864E-4
750,750,113,0,0.15,0,595,155,0,0,113,0.006067486673903962,0.005980900023132563,1.846122887668011E-4
750,750,150,0,0.2,0,646,104,0,0,150,0.007730730006005615,0.007681400049477816,1.6971939455437675E-4
1000,1000,50,0,0.05,0,594,406,0,0,50,0.009098006664620092,0.007544200052507222,0.0070835354181988395
1000,1000,100,0,0.1,0,692,308,0,0,100,0.007579943312642475,0.007497499929741025,4.585648739682798E-4
1000,1000,150,0,0.15,0,798,202,0,0,150,0.011058059998322278,0.010651699965819716,0.0011910977073265252
1000,1000,200,0,0.2,0,847,153,0,0,200,0.012983106654913475,0.012916899984702468,3.2242932070574424E-4
1250,1250,63,0,0.05,0,749,501,0,0,63,0.006881043338216842,0.0068789999932050705,1.2648741155742255E-4
1250,1250,125,0,0.1,0,843,407,0,0,125,0.0107780300003166,0.010737599921412766,2.0978375484286606E-4
1250,1250,188,0,0.15,0,998,252,0,0,188,0.014235966675914823,0.01415059994906187,3.5902761243042857E-4
