Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,250,250,13,0,0.05,0,156,94,0,0,13,0.0010928999399766326
1,250,250,13,0,0.05,0,156,94,0,0,13,0.0010469999397173524
2,250,250,13,0,0.05,0,156,94,0,0,13,9.825000306591392E-4
3,250,250,13,0,0.05,0,156,94,0,0,13,9.51100024394691E-4
4,250,250,13,0,0.05,0,156,94,0,0,13,9.503999026492238E-4
5,250,250,13,0,0.05,0,156,94,0,0,13,9.437999688088894E-4
6,250,250,13,0,0.05,0,156,94,0,0,13,9.454999817535281E-4
7,250,250,13,0,0.05,0,156,94,0,0,13,9.583999635651708E-4
8,250,250,13,0,0.05,0,156,94,0,0,13,0.0010752999223768711
9,250,250,13,0,0.05,0,156,94,0,0,13,0.0010506000835448503
10,250,250,13,0,0.05,0,156,94,0,0,13,0.0010406000073999166
11,250,250,13,0,0.05,0,156,94,0,0,13,0.0010505999671295285
12,250,250,13,0,0.05,0,156,94,0,0,13,0.0010507000843062997
13,250,250,13,0,0.05,0,156,94,0,0,13,0.0011005999986082315
14,250,250,13,0,0.05,0,156,94,0,0,13,0.0010495999595150352
15,250,250,13,0,0.05,0,156,94,0,0,13,0.0010392999975010753
16,250,250,13,0,0.05,0,156,94,0,0,13,9.474999969825149E-4
17,250,250,13,0,0.05,0,156,94,0,0,13,9.523999178782105E-4
18,250,250,13,0,0.05,0,156,94,0,0,13,9.451999794691801E-4
19,250,250,13,0,0.05,0,156,94,0,0,13,9.640000062063336E-4
20,250,250,13,0,0.05,0,156,94,0,0,13,9.42799961194396E-4
21,250,250,13,0,0.05,0,156,94,0,0,13,9.413999505341053E-4
22,250,250,13,0,0.05,0,156,94,0,0,13,9.444999741390347E-4
23,250,250,13,0,0.05,0,156,94,0,0,13,9.508999064564705E-4
24,250,250,13,0,0.05,0,156,94,0,0,13,9.532000403851271E-4
25,250,250,13,0,0.05,0,156,94,0,0,13,9.50500019825995E-4
26,250,250,13,0,0.05,0,156,94,0,0,13,9.405999444425106E-4
27,250,250,13,0,0.05,0,156,94,0,0,13,9.506000205874443E-4
28,250,250,13,0,0.05,0,156,94,0,0,13,9.847000474110246E-4
29,250,250,13,0,0.05,0,156,94,0,0,13,9.546999353915453E-4
0,250,250,25,0,0.1,0,166,84,0,0,25,0.001308100065216422
1,250,250,25,0,0.1,0,166,84,0,0,25,0.001388799981214106
2,250,250,25,0,0.1,0,166,84,0,0,25,0.001360700000077486
3,250,250,25,0,0.1,0,166,84,0,0,25,0.0013522000517696142
4,250,250,25,0,0.1,0,166,84,0,0,25,0.0013548999559134245
5,250,250,25,0,0.1,0,166,84,0,0,25,0.0013538000639528036
6,250,250,25,0,0.1,0,166,84,0,0,25,0.001354200066998601
7,250,250,25,0,0.1,0,166,84,0,0,25,0.0013515000464394689
8,250,250,25,0,0.1,0,166,84,0,0,25,0.0013911999994888902
9,250,250,25,0,0.1,0,166,84,0,0,25,0.0012580000329762697
10,250,250,25,0,0.1,0,166,84,0,0,25,0.0012928000651299953
11,250,250,25,0,0.1,0,166,84,0,0,25,0.0012612000573426485
12,250,250,25,0,0.1,0,166,84,0,0,25,0.0012510999804362655
13,250,250,25,0,0.1,0,166,84,0,0,25,0.001241200021468103
14,250,250,25,0,0.1,0,166,84,0,0,25,0.0012380999978631735
15,250,250,25,0,0.1,0,166,84,0,0,25,0.0012889000354334712
16,250,250,25,0,0.1,0,166,84,0,0,25,0.0012453999370336533
17,250,250,25,0,0.1,0,166,84,0,0,25,0.0012368999887257814
18,250,250,25,0,0.1,0,166,84,0,0,25,0.0012529999949038029
19,250,250,25,0,0.1,0,166,84,0,0,25,0.001232100068591535
20,250,250,25,0,0.1,0,166,84,0,0,25,0.0012332000769674778
21,250,250,25,0,0.1,0,166,84,0,0,25,0.0012407999020069838
22,250,250,25,0,0.1,0,166,84,0,0,25,0.0013343000318855047
23,250,250,25,0,0.1,0,166,84,0,0,25,0.0012530999956652522
24,250,250,25,0,0.1,0,166,84,0,0,25,0.0012565999059006572
25,250,250,25,0,0.1,0,166,84,0,0,25,0.0012698000064119697
26,250,250,25,0,0.1,0,166,84,0,0,25,0.001240900019183755
27,250,250,25,0,0.1,0,166,84,0,0,25,0.0012459999416023493
28,250,250,25,0,0.1,0,166,84,0,0,25,0.0012520999880507588
29,250,250,25,0,0.1,0,166,84,0,0,25,0.0013944999082013965
0,250,250,38,0,0.15,0,197,53,0,0,38,0.0016223000129684806
1,250,250,38,0,0.15,0,197,53,0,0,38,0.001267799991182983
2,250,250,38,0,0.15,0,197,53,0,0,38,0.001319000031799078
3,250,250,38,0,0.15,0,197,53,0,0,38,0.0013609000016003847
4,250,250,38,0,0.15,0,197,53,0,0,38,0.0012793999630957842
5,250,250,38,0,0.15,0,197,53,0,0,38,0.0013342000311240554
6,250,250,38,0,0.15,0,197,53,0,0,38,0.0013272000942379236
7,250,250,38,0,0.15,0,197,53,0,0,38,0.0014195999829098582
8,250,250,38,0,0.15,0,197,53,0,0,38,0.001460700063034892
9,250,250,38,0,0.15,0,197,53,0,0,38,0.0014043999835848808
10,250,250,38,0,0.15,0,197,53,0,0,38,0.0012662999797612429
11,250,250,38,0,0.15,0,197,53,0,0,38,0.0014334000879898667
12,250,250,38,0,0.15,0,197,53,0,0,38,0.0013856999576091766
13,250,250,38,0,0.15,0,197,53,0,0,38,0.0014454000629484653
14,250,250,38,0,0.15,0,197,53,0,0,38,0.001389099983498454
15,250,250,38,0,0.15,0,197,53,0,0,38,0.001395000028423965
16,250,250,38,0,0.15,0,197,53,0,0,38,0.0013737999834120274
17,250,250,38,0,0.15,0,197,53,0,0,38,0.0013728999765589833
18,250,250,38,0,0.15,0,197,53,0,0,38,0.0013812999241054058
19,250,250,38,0,0.15,0,197,53,0,0,38,0.0013928000116720796
20,250,250,38,0,0.15,0,197,53,0,0,38,0.0013416999718174338
21,250,250,38,0,0.15,0,197,53,0,0,38,0.001273399917408824
22,250,250,38,0,0.15,0,197,53,0,0,38,0.0013244999572634697
23,250,250,38,0,0.15,0,197,53,0,0,38,0.0012803999707102776
24,250,250,38,0,0.15,0,197,53,0,0,38,0.0012876999098807573
25,250,250,38,0,0.15,0,197,53,0,0,38,0.001271700020879507
26,250,250,38,0,0.15,0,197,53,0,0,38,0.0012738000368699431
27,250,250,38,0,0.15,0,197,53,0,0,38,0.001261899946257472
28,250,250,38,0,0.15,0,197,53,0,0,38,0.0012740000383928418
29,250,250,38,0,0.15,0,197,53,0,0,38,0.0012643999652937055
0,250,250,50,0,0.2,0,211,39,0,0,50,0.001959800021722913
1,250,250,50,0,0.2,0,211,39,0,0,50,0.0019239999819546938
2,250,250,50,0,0.2,0,211,39,0,0,50,0.0020022999960929155
3,250,250,50,0,0.2,0,211,39,0,0,50,0.0019215999636799097
4,250,250,50,0,0.2,0,211,39,0,0,50,0.0019319000421091914
5,250,250,50,0,0.2,0,211,39,0,0,50,0.0019354999531060457
6,250,250,50,0,0.2,0,211,39,0,0,50,0.001908099977299571
7,250,250,50,0,0.2,0,211,39,0,0,50,0.0019153000321239233
8,250,250,50,0,0.2,0,211,39,0,0,50,0.002077599987387657
9,250,250,50,0,0.2,0,211,39,0,0,50,0.0020083999261260033
10,250,250,50,0,0.2,0,211,39,0,0,50,0.0019067000830546021
11,250,250,50,0,0.2,0,211,39,0,0,50,0.0019028999377042055
12,250,250,50,0,0.2,0,211,39,0,0,50,0.0019192000618204474
13,250,250,50,0,0.2,0,211,39,0,0,50,0.001946799922734499
14,250,250,50,0,0.2,0,211,39,0,0,50,0.0019505000673234463
15,250,250,50,0,0.2,0,211,39,0,0,50,0.0019299000268802047
16,250,250,50,0,0.2,0,211,39,0,0,50,0.0019186000572517514
17,250,250,50,0,0.2,0,211,39,0,0,50,0.0019221999682486057
18,250,250,50,0,0.2,0,211,39,0,0,50,0.0020274000708013773
19,250,250,50,0,0.2,0,211,39,0,0,50,0.002072600065730512
20,250,250,50,0,0.2,0,211,39,0,0,50,0.0020706000505015254
21,250,250,50,0,0.2,0,211,39,0,0,50,0.0020622999873012304
22,250,250,50,0,0.2,0,211,39,0,0,50,0.002066000015474856
23,250,250,50,0,0.2,0,211,39,0,0,50,0.0020604999735951424
24,250,250,50,0,0.2,0,211,39,0,0,50,0.0020659000147134066
25,250,250,50,0,0.2,0,211,39,0,0,50,0.00206840003374964
26,250,250,50,0,0.2,0,211,39,0,0,50,0.0020729999523609877
27,250,250,50,0,0.2,0,211,39,0,0,50,0.0020688000367954373
28,250,250,50,0,0.2,0,211,39,0,0,50,0.0021268000127747655
29,250,250,50,0,0.2,0,211,39,0,0,50,0.0020027999999001622
0,500,500,25,0,0.05,0,334,166,0,0,25,0.0023111000191420317
1,500,500,25,0,0.05,0,334,166,0,0,25,0.0022639998933300376
2,500,500,25,0,0.05,0,334,166,0,0,25,0.0022745999740436673
3,500,500,25,0,0.05,0,334,166,0,0,25,0.0022776999976485968
4,500,500,25,0,0.05,0,334,166,0,0,25,0.0022473999997600913
5,500,500,25,0,0.05,0,334,166,0,0,25,0.002064500004053116
