Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,34,36,8,0,0.24,0,22,12,0,0,8,84,0.042095599994354416
1,34,36,8,0,0.24,0,22,12,0,0,8,84,0.030732999999599997
2,34,36,8,0,0.24,0,22,12,0,0,8,84,0.029861900002288166
3,34,36,8,0,0.24,0,22,12,0,0,8,84,0.029156000004149973
4,34,36,8,0,0.24,0,22,12,0,0,8,84,0.029881200003728736
5,34,36,8,0,0.24,0,22,12,0,0,8,84,0.029424599997582845
6,34,36,8,0,0.24,0,22,12,0,0,8,84,0.024820799997542053
7,34,36,8,0,0.24,0,22,12,0,0,8,84,0.023639200000616256
8,34,36,8,0,0.24,0,22,12,0,0,8,84,0.024440499997581355
9,34,36,8,0,0.24,0,22,12,0,0,8,84,0.024716499996429775
10,34,36,8,0,0.24,0,22,12,0,0,8,84,0.02566819999628933
11,34,36,8,0,0.24,0,22,12,0,0,8,84,0.02385140000114916
12,34,36,8,0,0.24,0,22,12,0,0,8,84,0.022981900001468603
13,34,36,8,0,0.24,0,22,12,0,0,8,84,0.022294499998679385
14,34,36,8,0,0.24,0,22,12,0,0,8,84,0.021348400005081203
15,34,36,8,0,0.24,0,22,12,0,0,8,84,0.027269099999102764
16,34,36,8,0,0.24,0,22,12,0,0,8,84,0.022937399997317698
17,34,36,8,0,0.24,0,22,12,0,0,8,84,0.022457700004451908
18,34,36,8,0,0.24,0,22,12,0,0,8,84,0.021894500001508277
19,34,36,8,0,0.24,0,22,12,0,0,8,84,0.02121179999812739
20,34,36,8,0,0.24,0,22,12,0,0,8,84,0.02216539999790257
21,34,36,8,0,0.24,0,22,12,0,0,8,84,0.02253970000310801
22,34,36,8,0,0.24,0,22,12,0,0,8,84,0.026681799994548783
23,34,36,8,0,0.24,0,22,12,0,0,8,84,0.025962899999285582
24,34,36,8,0,0.24,0,22,12,0,0,8,84,0.025652099997387268
25,34,36,8,0,0.24,0,22,12,0,0,8,84,0.025634999998146668
26,34,36,8,0,0.24,0,22,12,0,0,8,84,0.026717399996414315
27,34,36,8,0,0.24,0,22,12,0,0,8,84,0.027869400000781752
28,34,36,8,0,0.24,0,22,12,0,0,8,84,0.024038000003201887
29,34,36,8,0,0.24,0,22,12,0,0,8,84,0.0197866000016802
