nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,mean(s),median(s),sd(s) 
5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0034191966619497786,0.0032580000115558505,9.551663762256281E-4
5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.996900043915957E-4,9.908000356517732E-4,3.666650561144311E-5
5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012451299970659116,0.0012358000385574996,9.617758780312823E-5
5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012276833353098483,0.0012183000217191875,8.444531900589731E-5
5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005182643337563301,0.005002200021408498,7.335416517522484E-4
5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035777599977639815,0.0035490000154823065,1.3695847382142989E-4
5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026636300007036578,0.0026462000096216798,1.4158563741234134E-4
6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001636603332978363,0.001614699955098331,6.824680945234831E-5
6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016015833360143005,0.0015858999686315656,8.736387399766149E-5
6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.00191948667440253,0.001883000019006431,2.285591689194752E-4
8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002348473334374527,0.0023046000278554857,2.2345172413883944E-4
9,9,2,0,0.22,21,21,0,6,3,0,0,2,36,0.0019891300064045934,0.0019847999792546034,9.869274875008712E-5
9,9,2,0,0.22,9,9,0,6,3,0,0,2,36,0.00125721666845493,0.0012453999952413142,5.131578118409398E-5
9,9,2,0,0.22,49,49,0,6,3,0,0,2,36,0.0012109900068026035,0.0011804000241681933,7.199324607297561E-5
9,11,2,0,0.22,16,16,0,6,3,0,0,2,36,0.0014775500089551012,0.001463300024624914,6.236551299932384E-5
9,11,2,0,0.22,1,64,0,6,3,0,0,2,36,0.0012885633390396834,0.0012577000306919217,1.5724099627181763E-4
9,10,2,0,0.22,49,21,0,6,3,0,0,2,36,0.0055738066711152594,0.005529000016395003,2.5247667780556153E-4
9,9,2,0,0.22,16,16,0,6,3,0,0,2,36,0.00474450666224584,0.004711799963843077,3.6118649274871184E-4
9,9,2,0,0.22,0,0,0,7,2,0,0,2,36,0.007404626665326456,0.0023126000305637717,0.02737646593698011
9,9,3,0,0.33,10,10,0,6,3,0,0,3,36,0.0015573533368296922,0.0015407000319100916,1.0570565691943159E-4
13,13,3,0,0.23,7,70,0,10,3,0,0,3,36,0.006497603334719315,0.006508100021164864,1.523186642358066E-4
13,13,3,0,0.23,3,18,0,10,3,0,0,3,36,0.0010600633298357327,0.00105489999987185,8.444149277696162E-5
24,25,8,0,0.33,144,240,0,18,6,0,0,8,36,0.0026656799969108154,0.0026783000212162733,3.4127248912115216E-4
25,25,7,0,0.28,150,250,0,20,5,0,0,7,36,0.0030077466644191494,0.0030329000437632203,4.868238991792691E-4
29,29,8,0,0.28,1050,1750,0,23,6,0,0,8,36,0.003137550000489379,0.003169100033119321,4.5021697347123166E-4
30,31,3,0,0.1,8016,7680,0,21,9,0,0,3,36,0.009097236670398464,0.009202000044751912,0.0011055185362129523
34,36,8,0,0.24,13104,44928,0,22,12,0,0,8,36,0.010202983332177003,0.010306700016371906,0.0010689591916132506
44,44,13,0,0.3,432,11520,0,33,11,0,0,13,36,0.003710759995738044,0.0037187000270932913,4.0133644026462984E-4
