Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.006696199998259544
1,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0049374999944120646
2,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.005008000007364899
3,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.004724700003862381
4,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.00439439999172464
5,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.004064699984155595
6,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0036928000045008957
7,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003792200004681945
8,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003617800015490502
9,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0034351999638602138
10,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.00329949997831136
11,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003899300005286932
12,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0032476999913342297
13,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003291799977887422
14,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0030669000116176903
15,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003103499999269843
16,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003080399997998029
17,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003117099986411631
18,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0028806999907828867
19,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0032580000115558505
20,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.003258399956393987
21,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002673199982382357
22,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002702999976463616
23,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.00253950001206249
24,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0024930000072345138
25,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002419700031168759
26,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.0024215999874286354
27,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002441299962811172
28,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002738300012424588
29,5,5,1,0,0.2,3,3,0,3,2,0,0,1,36,0.002279500011354685
0,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010127000277861953
1,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010461999918334186
2,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.896999690681696E-4
3,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.878999553620815E-4
4,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.875999530777335E-4
5,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.837999823503196E-4
6,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010427000233903527
7,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010043000220321119
8,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010027000098489225
9,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.001109900011215359
10,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.507000213488936E-4
11,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.661999647505581E-4
12,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.761000401340425E-4
13,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.973000269383192E-4
14,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.66200022958219E-4
15,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.934999980032444E-4
16,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.680999792180955E-4
17,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.832000359892845E-4
18,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010654000216163695
19,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010249000042676926
20,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.737999644130468E-4
21,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.561000042594969E-4
22,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.991000406444073E-4
23,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.818000253289938E-4
24,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.908000356517732E-4
25,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010760000441223383
26,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010094000026583672
27,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0010174999479204416
28,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.584000217728317E-4
29,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,9.686999837867916E-4
