Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05969730000288109
1,250,252,25,0,0.1,0,211,39,13,13,25,45,0.058843099999648985
2,250,252,25,0,0.1,0,211,39,13,13,25,45,0.058881400000245776
3,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05874219999896013
4,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05951379999896744
5,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059982200000376906
6,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05918569999994361
7,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05854379999800585
8,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05852319999758038
9,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05868239999836078
10,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059832399998413166
11,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05863529999987804
12,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05917020000197226
13,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05852699999741162
14,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059053400000266265
15,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05894079999779933
16,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05918259999816655
17,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05896109999957844
18,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05885140000100364
19,250,252,25,0,0.1,0,211,39,13,13,25,45,0.058656900000642054
20,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059921899999608286
21,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059963499999867054
22,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059341200001654215
23,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05889240000033169
24,250,252,25,0,0.1,0,211,39,13,13,25,45,0.05921260000104667
25,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059370200000557816
26,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059329499999876134
27,250,252,25,0,0.1,0,211,39,13,13,25,45,0.06077790000199457
28,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059549200002948055
29,250,252,25,0,0.1,0,211,39,13,13,25,45,0.059588100000837585
0,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09457109999857494
1,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09497969999938505
2,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09405909999986761
3,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09621029999834718
4,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09497099999862257
5,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09503839999888442
6,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09479319999809377
7,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09497790000023087
8,250,250,38,0,0.15,0,207,43,7,7,38,45,0.09395629999926314
