nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,mean(s),median(s),sd(s) 
250,263,13,0,0.05,0,216,34,19,19,13,40,0.005712256665962438,0.003634600005170796,0.011249058065290087
250,275,25,0,0.1,0,213,37,13,13,25,40,0.005545746666757623,0.005556000003707595,2.0362158898544922E-4
250,288,38,0,0.15,0,204,46,7,7,38,40,0.008830863333423622,0.008572500002628658,0.0013061173478298314
250,300,50,0,0.2,0,214,36,0,0,50,40,0.01419367333316283,0.0110835000014049,0.015086399837929605
500,525,25,0,0.05,0,443,57,38,38,25,40,0.014992009999696165,0.012779001001035795,0.006013787325950444
500,550,50,0,0.1,0,420,80,25,25,50,40,0.022361613366714057,0.019337699995958246,0.011591886495026354
500,575,75,0,0.15,0,430,70,13,13,75,40,0.034074946533655746,0.02545230000396259,0.020556510218951062
500,600,100,0,0.2,0,432,68,0,0,100,40,0.05192141329995745,0.04371499900298659,0.019206865445038225
750,788,38,0,0.05,0,662,88,57,57,38,40,0.026999136466474737,0.02509359900432173,0.0053800016865897865
750,825,75,0,0.1,0,650,100,38,38,75,40,0.044024693399842364,0.036999300005845726,0.014166879272313736
750,863,113,0,0.15,0,646,104,19,19,113,40,0.06804464000015287,0.07069839999894612,0.01064050466365783
750,900,150,0,0.2,0,637,113,0,0,150,40,0.10362560340048124,0.09870000000228174,0.019037501605582624
1000,1050,50,0,0.05,0,863,137,75,75,50,40,0.04023108000013356,0.03638159999536583,0.016553766766637393
1000,1100,100,0,0.1,0,848,152,50,50,100,40,0.06020108333298898,0.049170199999934994,0.023474091371806362
1000,1150,150,0,0.15,0,847,153,25,25,150,40,0.08255060333297783,0.07496890000038547,0.022544937074132892
1000,1200,200,0,0.2,0,840,160,0,0,200,40,0.14164656000017808,0.13110669999878155,0.04457004603083749
1250,1313,63,0,0.05,0,1088,162,94,94,63,40,0.06404701666688198,0.053239699998812284,0.02080396712523402
1250,1375,125,0,0.1,0,1055,195,63,63,125,40,0.1132593066666838,0.12510869999823626,0.023077135094940117
1250,1438,188,0,0.15,0,1071,179,32,32,188,40,0.139438693333553,0.14878219999809517,0.03017955572293165
1250,1500,250,0,0.2,0,1056,194,0,0,250,40,0.20955873666583405,0.21230590000050142,0.030378542723428357
1500,1575,75,0,0.05,0,1298,202,113,113,75,40,0.09523409666653607,0.09925459999794839,0.026104919843512642
1500,1650,150,0,0.1,0,1286,214,75,75,150,40,0.11001164333356428,0.09490260000166018,0.02462639749939226
1500,1725,225,0,0.15,0,1270,230,38,38,225,40,0.1827164800003326,0.18739230000210227,0.023843741899247445
1500,1800,300,0,0.2,0,1283,217,0,0,300,40,0.270043476667585,0.2798834000059287,0.031152547557245523
1750,1838,88,0,0.05,0,1509,241,132,132,88,40,0.10114066333286852,0.0929651999977068,0.023876296949378446
1750,1925,175,0,0.1,0,1492,258,88,88,175,40,0.1632360199999918,0.15664669999387115,0.024658584396580283
1750,2013,263,0,0.15,0,1512,238,44,44,263,40,0.24010482999971525,0.2483557000014116,0.03003665588159024
1750,2100,350,0,0.2,0,1511,239,0,0,350,40,0.3399555500000133,0.33444529999542283,0.034316908796154545
2000,2100,100,0,0.05,0,1728,272,150,150,100,40,0.1311958900000415,0.12469330000021728,0.020334724545044675
2000,2200,200,0,0.1,0,1717,283,100,100,200,40,0.20293615000045975,0.19689159999688854,0.0330729428597695
2000,2300,300,0,0.15,0,1703,297,50,50,300,40,0.308797353333163,0.31061179999960586,0.028327743300503933
2000,2400,400,0,0.2,0,1721,279,0,0,400,40,0.42126158666675717,0.4183828999957768,0.033030170558834566
2250,2363,113,0,0.05,0,1958,292,169,169,113,40,0.14963037666627013,0.14754900000116322,0.010524032396238928
2250,2475,225,0,0.1,0,1906,344,113,113,225,40,0.23581677000038326,0.22722069999872474,0.028104104163742417
2250,2588,338,0,0.15,0,1914,336,57,57,338,40,0.36012353333474795,0.3585920999976224,0.023516776463804394
2250,2700,450,0,0.2,0,1905,345,0,0,450,40,0.5255706700006461,0.521780300005048,0.031335871213940866
2500,2625,125,0,0.05,0,2174,326,188,188,125,40,0.17224573666608195,0.1651168000025791,0.017713409472269223
2500,2750,250,0,0.1,0,2141,359,125,125,250,40,0.26261463666669443,0.25710090000211494,0.021901095507664937
