Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0036806999996770173
1,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003554899994924199
2,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003509699999995064
3,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0035855999958585016
4,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003434199999901466
5,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0035831999994115904
6,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003634600005170796
7,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003459599996858742
8,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0039329999999608845
9,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0035741999963647686
10,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003518999998050276
11,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0038773999986005947
12,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003708500000357162
13,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0035094000049866736
14,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003457500002696179
15,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0035312999971210957
16,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003609299994423054
17,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0037317999958759174
18,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0037945000003674068
19,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003497600002447143
20,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0037071000042487867
21,250,263,13,0,0.05,0,216,34,19,19,13,40,0.00365619999502087
22,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0037677000000257976
23,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003664700001536403
24,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0038032000011298805
25,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0037723000059486367
26,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0034956999952555634
27,250,263,13,0,0.05,0,216,34,19,19,13,40,0.003653299994766712
28,250,263,13,0,0.05,0,216,34,19,19,13,40,0.06628600000112783
29,250,263,13,0,0.05,0,216,34,19,19,13,40,0.0033754999967641197
0,250,275,25,0,0.1,0,213,37,13,13,25,40,0.00530820000130916
1,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005227100002230145
2,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005556000003707595
3,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005591400004050229
4,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005843200000526849
5,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005354299995815381
6,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005296099996485282
7,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005486999994900543
8,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005808300003991462
9,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005848499997227918
10,250,275,25,0,0.1,0,213,37,13,13,25,40,0.00543669999751728
11,250,275,25,0,0.1,0,213,37,13,13,25,40,0.0055598000035388395
12,250,275,25,0,0.1,0,213,37,13,13,25,40,0.0058653000014601275
13,250,275,25,0,0.1,0,213,37,13,13,25,40,0.00589159999799449
14,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005827000000863336
15,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005534500000067055
16,250,275,25,0,0.1,0,213,37,13,13,25,40,0.00559380000049714
17,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005703900002117734
18,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005692400001862552
19,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005723500005842652
20,250,275,25,0,0.1,0,213,37,13,13,25,40,0.00546270000631921
21,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005505900000571273
22,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005337300004612189
23,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005657699999574106
24,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005530899994482752
25,250,275,25,0,0.1,0,213,37,13,13,25,40,0.0052901999952155165
26,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005210899995290674
27,250,275,25,0,0.1,0,213,37,13,13,25,40,0.0052757000012206845
28,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005392499995650724
29,250,275,25,0,0.1,0,213,37,13,13,25,40,0.005559999997785781
0,250,288,38,0,0.15,0,204,46,7,7,38,40,0.01521350000257371
1,250,288,38,0,0.15,0,204,46,7,7,38,40,0.00807889999850886
2,250,288,38,0,0.15,0,204,46,7,7,38,40,0.010116199999174569
3,250,288,38,0,0.15,0,204,46,7,7,38,40,0.007997299995622598
4,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008265699994808529
5,250,288,38,0,0.15,0,204,46,7,7,38,40,0.00973109999904409
6,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008574200001021381
7,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008760899996559601
8,250,288,38,0,0.15,0,204,46,7,7,38,40,0.00888709999708226
9,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008502700002281927
10,250,288,38,0,0.15,0,204,46,7,7,38,40,0.007979400004842319
11,250,288,38,0,0.15,0,204,46,7,7,38,40,0.00796249999984866
12,250,288,38,0,0.15,0,204,46,7,7,38,40,0.009404800002812408
13,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008610199998656753
14,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008807199999864679
15,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008682800005772151
16,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008603899994341191
17,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008374999997613486
18,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008549700003641192
19,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008583700000599492
20,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008572500002628658
21,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008130299996992107
22,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008135100004437845
23,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008457299998553935
24,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008191400003852323
25,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008598100001108833
26,250,288,38,0,0.15,0,204,46,7,7,38,40,0.00850209999771323
27,250,288,38,0,0.15,0,204,46,7,7,38,40,0.010063200003060047
28,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008081200001470279
29,250,288,38,0,0.15,0,204,46,7,7,38,40,0.008507899998221546
0,250,300,50,0,0.2,0,214,36,0,0,50,40,0.017221000001882203
1,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011209499993128702
2,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011016600001312327
3,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011034800001652911
4,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011365400001523085
5,250,300,50,0,0.2,0,214,36,0,0,50,40,0.01146100000187289
6,250,300,50,0,0.2,0,214,36,0,0,50,40,0.012263700002222322
7,250,300,50,0,0.2,0,214,36,0,0,50,40,0.09520469999552006
8,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011000200000125915
9,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010920000000623986
10,250,300,50,0,0.2,0,214,36,0,0,50,40,0.01084650000120746
11,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010866899996472057
12,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011048299995309208
13,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010866500000702217
14,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011078900002758019
15,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011121499999717344
16,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011694799999531824
17,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011960900003032293
18,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011158499997691251
19,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011610199995629955
20,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011917899995751213
21,250,300,50,0,0.2,0,214,36,0,0,50,40,0.0110835000014049
22,250,300,50,0,0.2,0,214,36,0,0,50,40,0.01116840000031516
23,250,300,50,0,0.2,0,214,36,0,0,50,40,0.011181499998201616
24,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010963400003674906
25,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010885199997574091
26,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010937099999864586
27,250,300,50,0,0.2,0,214,36,0,0,50,40,0.01086840000061784
28,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010920700005954131
29,250,300,50,0,0.2,0,214,36,0,0,50,40,0.010934199999610428
0,500,525,25,0,0.05,0,443,57,38,38,25,40,0.013686100995982997
1,500,525,25,0,0.05,0,443,57,38,38,25,40,0.01414699999440927
2,500,525,25,0,0.05,0,443,57,38,38,25,40,0.014220199998817407
3,500,525,25,0,0.05,0,443,57,38,38,25,40,0.014521599005092867
4,500,525,25,0,0.05,0,443,57,38,38,25,40,0.01566139899659902
5,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012413300006301142
6,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012790199994924478
7,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012321299989707768
8,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012720900995191187
9,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012169200999778695
10,500,525,25,0,0.05,0,443,57,38,38,25,40,0.029644099005963653
11,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012376300001051277
12,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012139999002101831
13,500,525,25,0,0.05,0,443,57,38,38,25,40,0.011822000000393018
14,500,525,25,0,0.05,0,443,57,38,38,25,40,0.03331579999940004
15,500,525,25,0,0.05,0,443,57,38,38,25,40,0.013103799996315502
16,500,525,25,0,0.05,0,443,57,38,38,25,40,0.010819699993589893
17,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012057600004482083
18,500,525,25,0,0.05,0,443,57,38,38,25,40,0.03456759999971837
19,500,525,25,0,0.05,0,443,57,38,38,25,40,0.011423600008129142
20,500,525,25,0,0.05,0,443,57,38,38,25,40,0.01593219999631401
21,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012607399999978952
22,500,525,25,0,0.05,0,443,57,38,38,25,40,0.016577000002143905
23,500,525,25,0,0.05,0,443,57,38,38,25,40,0.01209210000524763
24,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012779001001035795
25,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012268899998161942
26,500,525,25,0,0.05,0,443,57,38,38,25,40,0.013635600000270642
27,500,525,25,0,0.05,0,443,57,38,38,25,40,0.013029900001129135
28,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012140199993154965
29,500,525,25,0,0.05,0,443,57,38,38,25,40,0.012776300005498342
0,500,550,50,0,0.1,0,420,80,25,25,50,40,0.0159568009985378
1,500,550,50,0,0.1,0,420,80,25,25,50,40,0.016615200001979247
2,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01597940099600237
3,500,550,50,0,0.1,0,420,80,25,25,50,40,0.0170912000030512
4,500,550,50,0,0.1,0,420,80,25,25,50,40,0.07292479999887291
5,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01570230000652373
6,500,550,50,0,0.1,0,420,80,25,25,50,40,0.016693099998519756
7,500,550,50,0,0.1,0,420,80,25,25,50,40,0.015932000998873264
8,500,550,50,0,0.1,0,420,80,25,25,50,40,0.042985599997336976
9,500,550,50,0,0.1,0,420,80,25,25,50,40,0.016048100995249115
10,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01587849900533911
11,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01685410000209231
12,500,550,50,0,0.1,0,420,80,25,25,50,40,0.016288800004986115
13,500,550,50,0,0.1,0,420,80,25,25,50,40,0.02358290000120178
14,500,550,50,0,0.1,0,420,80,25,25,50,40,0.03669979999540374
15,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01595479999377858
16,500,550,50,0,0.1,0,420,80,25,25,50,40,0.018685700997593813
17,500,550,50,0,0.1,0,420,80,25,25,50,40,0.020183599001029506
18,500,550,50,0,0.1,0,420,80,25,25,50,40,0.019337699995958246
19,500,550,50,0,0.1,0,420,80,25,25,50,40,0.03996589999587741
20,500,550,50,0,0.1,0,420,80,25,25,50,40,0.02072760000010021
21,500,550,50,0,0.1,0,420,80,25,25,50,40,0.01932910000323318
22,500,550,50,0,0.1,0,420,80,25,25,50,40,0.019452400010777637
23,500,550,50,0,0.1,0,420,80,25,25,50,40,0.020307500002672896
24,500,550,50,0,0.1,0,420,80,25,25,50,40,0.019528199001797475
25,500,550,50,0,0.1,0,420,80,25,25,50,40,0.020876199996564537
26,500,550,50,0,0.1,0,420,80,25,25,50,40,0.021219400005065836
27,500,550,50,0,0.1,0,420,80,25,25,50,40,0.018976899998961017
28,500,550,50,0,0.1,0,420,80,25,25,50,40,0.020380599991767667
29,500,550,50,0,0.1,0,420,80,25,25,50,40,0.020690199002274312
0,500,575,75,0,0.15,0,430,70,13,13,75,40,0.025780900003155693
1,500,575,75,0,0.15,0,430,70,13,13,75,40,0.05187650000152644
2,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024595800001407042
3,500,575,75,0,0.15,0,430,70,13,13,75,40,0.10578479900141247
4,500,575,75,0,0.15,0,430,70,13,13,75,40,0.023727499996311963
5,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02540149900596589
6,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024192700991989113
7,500,575,75,0,0.15,0,430,70,13,13,75,40,0.026807100002770312
8,500,575,75,0,0.15,0,430,70,13,13,75,40,0.025209498999174684
9,500,575,75,0,0.15,0,430,70,13,13,75,40,0.05539149900141638
10,500,575,75,0,0.15,0,430,70,13,13,75,40,0.023869199998443946
11,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024450299999443814
12,500,575,75,0,0.15,0,430,70,13,13,75,40,0.027465000996016897
13,500,575,75,0,0.15,0,430,70,13,13,75,40,0.05128250000416301
14,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024439599001198076
15,500,575,75,0,0.15,0,430,70,13,13,75,40,0.025952800002414733
16,500,575,75,0,0.15,0,430,70,13,13,75,40,0.050594500004081056
17,500,575,75,0,0.15,0,430,70,13,13,75,40,0.025083899992750958
18,500,575,75,0,0.15,0,430,70,13,13,75,40,0.025213599001290277
19,500,575,75,0,0.15,0,430,70,13,13,75,40,0.0249175990029471
20,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02610669999558013
21,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02521550000528805
22,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02545230000396259
23,500,575,75,0,0.15,0,430,70,13,13,75,40,0.026730900994152762
24,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024562601000070572
25,500,575,75,0,0.15,0,430,70,13,13,75,40,0.09984809999878053
26,500,575,75,0,0.15,0,430,70,13,13,75,40,0.024005300001590513
27,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02475329900335055
28,500,575,75,0,0.15,0,430,70,13,13,75,40,0.02659249999851454
29,500,575,75,0,0.15,0,430,70,13,13,75,40,0.026944400000502355
0,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04321689999778755
1,500,600,100,0,0.2,0,432,68,0,0,100,40,0.10968379900441505
2,500,600,100,0,0.2,0,432,68,0,0,100,40,0.0385833000036655
3,500,600,100,0,0.2,0,432,68,0,0,100,40,0.048876398999709636
4,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04830729999230243
5,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04371499900298659
6,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04088159999810159
7,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04021179999108426
8,500,600,100,0,0.2,0,432,68,0,0,100,40,0.041867100007948466
9,500,600,100,0,0.2,0,432,68,0,0,100,40,0.06810969999060035
10,500,600,100,0,0.2,0,432,68,0,0,100,40,0.039650100996368565
11,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04478770100104157
12,500,600,100,0,0.2,0,432,68,0,0,100,40,0.046437900004093535
13,500,600,100,0,0.2,0,432,68,0,0,100,40,0.07265349999943282
14,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04981970100197941
15,500,600,100,0,0.2,0,432,68,0,0,100,40,0.04318530000455212
16,500,600,100,0,0.2,0,432,68,0,0,100,40,0.03742419999616686
