nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
5,5,1,0,0.2,3,3,0,3,2,0,0,1,2.0542986458167435E-4,1.3800000306218863E-4,3.4308550251960836E-4
5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.556333486922085E-5,8.450000314041972E-5,5.111953874964946E-6
5,6,1,0,0.2,4,3,0,3,2,0,0,1,9.608316080023845E-5,8.919998072087765E-5,1.7822053208402375E-5
5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.96932634835442E-5,8.60010040923953E-5,1.2442348811783308E-5
5,6,1,0,0.2,7,7,0,3,2,0,0,1,5.842100693068156E-4,3.3090001670643687E-4,0.0013363294372092333
5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6525357495993375E-4,1.5490100486204028E-4,3.989779384350228E-5
5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1992673583639165E-4,1.1649896623566747E-4,8.503749889134373E-6
6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3431973056867718E-4,1.325989724136889E-4,6.025890965786828E-6
6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.4311660003537934E-4,1.354010310024023E-4,2.2424968588937948E-5
6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.49093436387678E-4,1.419999753125012E-4,2.1989370935232368E-5
8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7341006896458565E-4,1.697989646345377E-4,1.7746874087219786E-5
9,9,2,0,0.22,21,21,0,6,3,0,0,2,3.6443023903605837E-4,1.5050004003569484E-4,7.917049593391709E-4
9,9,2,0,0.22,9,9,0,6,3,0,0,2,9.647683279278378E-5,9.089999366551638E-5,1.3149126237620091E-5
9,9,2,0,0.22,49,49,0,6,3,0,0,2,9.609323266583185E-5,9.509897790849209E-5,6.100682537200752E-6
9,11,2,0,0.22,16,9,0,6,3,0,0,2,1.0503656812943518E-4,9.90999978967011E-5,1.4028437025233143E-5
9,11,2,0,0.22,1,49,0,6,3,0,0,2,1.0045989765785634E-4,9.849999332800508E-5,7.3273445564017015E-6
9,11,2,0,0.22,49,49,0,6,3,0,0,2,3.3690652926452456E-4,3.2489997101947665E-4,5.427694029601261E-5
9,9,2,0,0.22,16,16,0,6,3,0,0,2,1.527733732170115E-4,1.4950003242120147E-4,1.140788447975788E-5
9,9,2,0,0.22,0,19,0,7,2,0,0,2,1.7212319653481245E-4,1.6759999562054873E-4,1.1414198368024929E-5
9,9,3,0,0.33,10,10,0,6,3,0,0,3,1.5775326755829155E-4,1.537000061944127E-4,1.3108079504682454E-5
13,13,3,0,0.23,7,70,0,10,3,0,0,3,1.907334003287057E-4,1.8440000712871552E-4,1.5762415869946948E-5
13,13,3,0,0.23,3,18,0,10,3,0,0,3,9.76199982687831E-5,9.34000127017498E-5,9.248553051712076E-6
24,25,8,0,0.33,144,160,0,18,6,0,0,8,1.938799648390462E-4,1.849000109359622E-4,2.3199630346238103E-5
25,25,7,0,0.28,150,250,0,20,5,0,0,7,2.327300375327468E-4,2.2799998987466097E-4,2.4742783980734357E-5
29,29,8,0,0.28,1050,1750,0,23,6,0,0,8,2.2754986615230639E-4,2.163010067306459E-4,3.245585370503209E-5
30,31,3,0,0.1,8016,8016,0,21,9,0,0,3,2.8451350323545436E-4,2.8760102577507496E-4,3.454970228614414E-5
34,37,8,0,0.24,13104,30429,0,22,12,0,0,8,3.2727670234938464E-4,3.0990003142505884E-4,5.1289580508643125E-5
44,44,13,0,0.3,432,11520,0,33,11,0,0,13,2.843730947157989E-4,2.696989686228335E-4,2.930771567590316E-5
