Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,5,5,1,0,0.2,3,3,0,3,2,0,0,1,0.002051600022241473
1,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.4370103599503636E-4
2,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.341000315733254E-4
3,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3479997869580984E-4
4,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.4830002328380942E-4
5,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3089895946905017E-4
6,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.5000102575868368E-4
7,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.385000068694353E-4
8,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.792989787645638E-4
9,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3800000306218863E-4
10,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3110000872984529E-4
11,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.327999634668231E-4
12,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3299897545948625E-4
13,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.2939900625497103E-4
14,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3160001253709197E-4
15,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.5439896378666162E-4
16,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3840000610798597E-4
17,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.5869899652898312E-4
18,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.43001030664891E-4
19,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3040000339969993E-4
20,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.6689999029040337E-4
21,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3290101196616888E-4
22,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.279989955946803E-4
23,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.6419898020103574E-4
24,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.6719999257475138E-4
25,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.4089996693655849E-4
26,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3800000306218863E-4
27,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.2959999730810523E-4
28,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.3649999164044857E-4
29,5,5,1,0,0.2,3,3,0,3,2,0,0,1,1.2669997522607446E-4
0,5,5,1,0,0.2,7,7,0,3,2,0,0,1,9.169999975711107E-5
1,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.290103869512677E-5
2,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.480000542476773E-5
3,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.5898966062814E-5
4,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.349999552592635E-5
5,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.1080002877861261E-4
6,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.38999985717237E-5
7,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.430000161752105E-5
8,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.339999476447701E-5
9,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.530000923201442E-5
10,5,5,1,0,0.2,7,7,0,3,2,0,0,1,8.170102955773473E-5
11,5,5,1,0,0.2,7,7,0,3,2,0,0,1,9.139999747276306E-5
