nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
250,250,13,0,0.05,0,222,28,19,19,13,0.0012186066662252415,0.0011924999998882413,4.8123936651187695E-5
250,250,25,0,0.1,0,222,28,13,13,25,0.001454656666222339,0.00145160000101896,5.574235820515134E-5
250,250,38,0,0.15,0,217,33,7,7,38,0.0017342533339009,0.0017178999987663701,4.708257759690877E-5
250,250,50,0,0.2,0,213,37,0,0,50,0.0019492666666337754,0.0019246999945607968,8.179376604235942E-5
500,500,25,0,0.05,0,439,61,38,38,25,0.0032809066658956,0.0031916000007186085,2.4026517540544405E-4
500,500,50,0,0.1,0,413,87,25,25,50,0.003996656665791912,0.003974300001573283,1.6579081366725526E-4
500,500,75,0,0.15,0,423,77,13,13,75,0.0052210266670347965,0.005175400001462549,3.037860955256274E-4
500,500,100,0,0.2,0,420,80,0,0,100,0.004821786666191959,0.004810200000065379,2.8065916715208633E-4
750,750,38,0,0.05,0,655,95,57,57,38,0.005791473332161938,0.005759599996963516,1.3258030732542177E-4
750,750,75,0,0.1,0,632,118,38,38,75,0.007651509999413974,0.0076140999954077415,1.402892588546949E-4
750,750,113,0,0.15,0,640,110,19,19,113,0.00892345666725305,0.008896399995137472,1.0329658120409724E-4
750,750,150,0,0.2,0,655,95,0,0,150,0.008461733333630643,0.0084121000036248,1.976582292929582E-4
1000,1000,50,0,0.05,0,855,145,75,75,50,0.013162013332475908,0.012339199995039962,0.0014423813247417155
1000,1000,100,0,0.1,0,847,153,50,50,100,0.013105283332697582,0.012591699996846728,0.0012675843636975016
1000,1000,150,0,0.15,0,846,154,25,25,150,0.017042530000132197,0.015803499998582993,0.005966530648291107
1000,1000,200,0,0.2,0,856,144,0,0,200,0.019601576666658124,0.01713010000094073,0.011654386087278076
1250,1250,63,0,0.05,0,1098,152,94,94,63,0.017121686666602423,0.017020300001604483,2.64229923892459E-4
1250,1250,125,0,0.1,0,1055,195,63,63,125,0.01793706666721846,0.01783160000195494,3.203893770625516E-4
1250,1250,188,0,0.15,0,1074,176,32,32,188,0.021781849999630745,0.02170289999776287,2.597273958253358E-4
1250,1250,250,0,0.2,0,1058,192,0,0,250,0.01992785000038566,0.019879999999830034,3.283105785399002E-4
1500,1500,75,0,0.05,0,1298,202,113,113,75,0.01944204666700292,0.0193823000008706,1.871015337042506E-4
1500,1500,150,0,0.1,0,1275,225,75,75,150,0.026577910000196426,0.02653979999740841,3.013307741539997E-4
1500,1500,225,0,0.15,0,1267,233,38,38,225,0.030995506665688784,0.030902500002412125,3.532076427801632E-4
1500,1500,300,0,0.2,0,1297,203,0,0,300,0.02561517333330509,0.02553240000270307,3.5177246126610385E-4
1750,1750,88,0,0.05,0,1535,215,132,132,88,0.029356779999943683,0.02859339999849908,0.0040606684437629525
1750,1750,175,0,0.1,0,1496,254,88,88,175,0.033810976667155046,0.03365699999994831,8.270333402342455E-4
1750,1750,263,0,0.15,0,1474,276,44,44,263,0.041410743333108256,0.04059350000170525,0.0042290564594612955
1750,1750,350,0,0.2,0,1475,275,0,0,350,0.034943489999326026,0.03488579999975627,4.324197086400088E-4
2000,2000,100,0,0.05,0,1733,267,150,150,100,0.03530182000152612,0.034655100003874395,0.003006078735663311
2000,2000,200,0,0.1,0,1696,304,100,100,200,0.0462623199991261,0.04529029999685008,0.0037862292993029543
2000,2000,300,0,0.15,0,1696,304,50,50,300,0.05395843999940553,0.05387409999821102,5.031857801546088E-4
2000,2000,400,0,0.2,0,1710,290,0,0,400,0.04376366000093791,0.043600500001048204,3.832668935134129E-4
2250,2250,113,0,0.05,0,1954,296,169,169,113,0.06038175999977587,0.05875500000547618,0.006257169445525816
2250,2250,225,0,0.1,0,1929,321,113,113,225,0.05535143333351395,0.05529200000455603,9.241314077977713E-4
2250,2250,338,0,0.15,0,1922,328,57,57,338,0.06542482999914985,0.06534169999940787,5.63009113332644E-4
2250,2250,450,0,0.2,0,1896,354,0,0,450,0.050997150000330296,0.05106879999948433,5.245737772080338E-4
2500,2500,125,0,0.05,0,2129,371,188,188,125,0.05517213000033128,0.05340499999874737,0.006010426648081619
