Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,250,250,13,0,0.05,0,222,28,19,19,13,0.0011924999998882413
1,250,250,13,0,0.05,0,222,28,19,19,13,0.0011733999999705702
2,250,250,13,0,0.05,0,222,28,19,19,13,0.0011726999946404248
3,250,250,13,0,0.05,0,222,28,19,19,13,0.001192200004879851
4,250,250,13,0,0.05,0,222,28,19,19,13,0.0011688000013236888
5,250,250,13,0,0.05,0,222,28,19,19,13,0.0011688000013236888
6,250,250,13,0,0.05,0,222,28,19,19,13,0.001315900000918191
7,250,250,13,0,0.05,0,222,28,19,19,13,0.0012887999982922338
8,250,250,13,0,0.05,0,222,28,19,19,13,0.0012694000033661723
9,250,250,13,0,0.05,0,222,28,19,19,13,0.001189199996588286
10,250,250,13,0,0.05,0,222,28,19,19,13,0.0011700000031851232
11,250,250,13,0,0.05,0,222,28,19,19,13,0.0011800999927800149
12,250,250,13,0,0.05,0,222,28,19,19,13,0.0011752999998861924
13,250,250,13,0,0.05,0,222,28,19,19,13,0.00123380000150064
14,250,250,13,0,0.05,0,222,28,19,19,13,0.0011684999990393408
15,250,250,13,0,0.05,0,222,28,19,19,13,0.0012348000018391758
16,250,250,13,0,0.05,0,222,28,19,19,13,0.0011742999995476566
17,250,250,13,0,0.05,0,222,28,19,19,13,0.0011693999986164272
18,250,250,13,0,0.05,0,222,28,19,19,13,0.0011719000031007454
19,250,250,13,0,0.05,0,222,28,19,19,13,0.001178400001663249
20,250,250,13,0,0.05,0,222,28,19,19,13,0.0011769999982789159
21,250,250,13,0,0.05,0,222,28,19,19,13,0.0012245999969309196
22,250,250,13,0,0.05,0,222,28,19,19,13,0.0012750000023515895
23,250,250,13,0,0.05,0,222,28,19,19,13,0.0012745999993057922
24,250,250,13,0,0.05,0,222,28,19,19,13,0.0012644999951589853
25,250,250,13,0,0.05,0,222,28,19,19,13,0.0012681000007432885
26,250,250,13,0,0.05,0,222,28,19,19,13,0.001287799997953698
27,250,250,13,0,0.05,0,222,28,19,19,13,0.0012692999953287654
28,250,250,13,0,0.05,0,222,28,19,19,13,0.0012679999999818392
29,250,250,13,0,0.05,0,222,28,19,19,13,0.0012610999983735383
0,250,250,25,0,0.1,0,222,28,13,13,25,0.00145160000101896
1,250,250,25,0,0.1,0,222,28,13,13,25,0.0014186000043991953
2,250,250,25,0,0.1,0,222,28,13,13,25,0.0014372999939951114
3,250,250,25,0,0.1,0,222,28,13,13,25,0.0013985999976284802
4,250,250,25,0,0.1,0,222,28,13,13,25,0.0013957999981357716
5,250,250,25,0,0.1,0,222,28,13,13,25,0.001408700001775287
6,250,250,25,0,0.1,0,222,28,13,13,25,0.0014210000008461066
7,250,250,25,0,0.1,0,222,28,13,13,25,0.0013973999957670458
8,250,250,25,0,0.1,0,222,28,13,13,25,0.001408399999490939
9,250,250,25,0,0.1,0,222,28,13,13,25,0.0013854999997420236
10,250,250,25,0,0.1,0,222,28,13,13,25,0.0014567999969585799
11,250,250,25,0,0.1,0,222,28,13,13,25,0.0014001000017742626
12,250,250,25,0,0.1,0,222,28,13,13,25,0.0014231000022846274
13,250,250,25,0,0.1,0,222,28,13,13,25,0.0013951000000815839
14,250,250,25,0,0.1,0,222,28,13,13,25,0.001396999999997206
15,250,250,25,0,0.1,0,222,28,13,13,25,0.001391899997543078
16,250,250,25,0,0.1,0,222,28,13,13,25,0.00149529999907827
17,250,250,25,0,0.1,0,222,28,13,13,25,0.0015342000042437576
18,250,250,25,0,0.1,0,222,28,13,13,25,0.00151940000068862
19,250,250,25,0,0.1,0,222,28,13,13,25,0.0015547000002698041
20,250,250,25,0,0.1,0,222,28,13,13,25,0.0014970999982324429
21,250,250,25,0,0.1,0,222,28,13,13,25,0.0015922000020509586
22,250,250,25,0,0.1,0,222,28,13,13,25,0.0015094999980647117
23,250,250,25,0,0.1,0,222,28,13,13,25,0.0014044999988982454
24,250,250,25,0,0.1,0,222,28,13,13,25,0.0014741999984835275
25,250,250,25,0,0.1,0,222,28,13,13,25,0.0014890000020386651
26,250,250,25,0,0.1,0,222,28,13,13,25,0.0014940999972168356
27,250,250,25,0,0.1,0,222,28,13,13,25,0.0015012000003480352
28,250,250,25,0,0.1,0,222,28,13,13,25,0.0014911999969626777
29,250,250,25,0,0.1,0,222,28,13,13,25,0.0014961999986553565
0,250,250,38,0,0.15,0,217,33,7,7,38,0.0017559000043547712
1,250,250,38,0,0.15,0,217,33,7,7,38,0.0017163999946205877
2,250,250,38,0,0.15,0,217,33,7,7,38,0.0017305999936070293
3,250,250,38,0,0.15,0,217,33,7,7,38,0.0017084999999497086
4,250,250,38,0,0.15,0,217,33,7,7,38,0.001730600000882987
5,250,250,38,0,0.15,0,217,33,7,7,38,0.0016957000043476
6,250,250,38,0,0.15,0,217,33,7,7,38,0.001702499997918494
7,250,250,38,0,0.15,0,217,33,7,7,38,0.0016973000019788742
8,250,250,38,0,0.15,0,217,33,7,7,38,0.0017112999994424172
9,250,250,38,0,0.15,0,217,33,7,7,38,0.0017226000054506585
10,250,250,38,0,0.15,0,217,33,7,7,38,0.001698600004601758
11,250,250,38,0,0.15,0,217,33,7,7,38,0.0017091000045184046
12,250,250,38,0,0.15,0,217,33,7,7,38,0.00188460000208579
13,250,250,38,0,0.15,0,217,33,7,7,38,0.0018471000003046356
14,250,250,38,0,0.15,0,217,33,7,7,38,0.00182199999835575
15,250,250,38,0,0.15,0,217,33,7,7,38,0.0017078000018955208
16,250,250,38,0,0.15,0,217,33,7,7,38,0.0017021000021486543
17,250,250,38,0,0.15,0,217,33,7,7,38,0.0017778999972506426
18,250,250,38,0,0.15,0,217,33,7,7,38,0.001710800002911128
19,250,250,38,0,0.15,0,217,33,7,7,38,0.0017158000046038069
20,250,250,38,0,0.15,0,217,33,7,7,38,0.0017232999962288886
21,250,250,38,0,0.15,0,217,33,7,7,38,0.0017077000011340715
22,250,250,38,0,0.15,0,217,33,7,7,38,0.0017188999991049059
23,250,250,38,0,0.15,0,217,33,7,7,38,0.0017219000001205131
24,250,250,38,0,0.15,0,217,33,7,7,38,0.0017178999987663701
25,250,250,38,0,0.15,0,217,33,7,7,38,0.0017128000035881996
26,250,250,38,0,0.15,0,217,33,7,7,38,0.0016931999998632818
27,250,250,38,0,0.15,0,217,33,7,7,38,0.0017198999994434416
28,250,250,38,0,0.15,0,217,33,7,7,38,0.0018181999985245056
29,250,250,38,0,0.15,0,217,33,7,7,38,0.0017465999990236014
0,250,250,50,0,0.2,0,213,37,0,0,50,0.0019332999945618212
1,250,250,50,0,0.2,0,213,37,0,0,50,0.00187980000191601
2,250,250,50,0,0.2,0,213,37,0,0,50,0.001906600002257619
3,250,250,50,0,0.2,0,213,37,0,0,50,0.0018748000002233312
4,250,250,50,0,0.2,0,213,37,0,0,50,0.0018826000014087185
5,250,250,50,0,0.2,0,213,37,0,0,50,0.0019791000013356097
6,250,250,50,0,0.2,0,213,37,0,0,50,0.0021421999990707263
7,250,250,50,0,0.2,0,213,37,0,0,50,0.0018924000032711774
8,250,250,50,0,0.2,0,213,37,0,0,50,0.0019501999995554797
9,250,250,50,0,0.2,0,213,37,0,0,50,0.00203719999990426
10,250,250,50,0,0.2,0,213,37,0,0,50,0.0018775999997160397
11,250,250,50,0,0.2,0,213,37,0,0,50,0.002035700003034435
12,250,250,50,0,0.2,0,213,37,0,0,50,0.0018902000010712072
13,250,250,50,0,0.2,0,213,37,0,0,50,0.0019246999945607968
14,250,250,50,0,0.2,0,213,37,0,0,50,0.001901800002087839
15,250,250,50,0,0.2,0,213,37,0,0,50,0.0019065000014961697
16,250,250,50,0,0.2,0,213,37,0,0,50,0.001898100003018044
17,250,250,50,0,0.2,0,213,37,0,0,50,0.0018805999934556894
18,250,250,50,0,0.2,0,213,37,0,0,50,0.0019503999938024208
19,250,250,50,0,0.2,0,213,37,0,0,50,0.0018813000060617924
20,250,250,50,0,0.2,0,213,37,0,0,50,0.0021202999996603467
21,250,250,50,0,0.2,0,213,37,0,0,50,0.0019477999958326109
22,250,250,50,0,0.2,0,213,37,0,0,50,0.0020898000002489425
23,250,250,50,0,0.2,0,213,37,0,0,50,0.0019343000021763146
24,250,250,50,0,0.2,0,213,37,0,0,50,0.001890899999125395
25,250,250,50,0,0.2,0,213,37,0,0,50,0.0020886999991489574
26,250,250,50,0,0.2,0,213,37,0,0,50,0.001869500003522262
27,250,250,50,0,0.2,0,213,37,0,0,50,0.002084899999317713
28,250,250,50,0,0.2,0,213,37,0,0,50,0.001877399998193141
29,250,250,50,0,0.2,0,213,37,0,0,50,0.0019492999999783933
0,500,500,25,0,0.05,0,439,61,38,38,25,0.003239700003177859
1,500,500,25,0,0.05,0,439,61,38,38,25,0.003464399997028522
2,500,500,25,0,0.05,0,439,61,38,38,25,0.0034691999971983023
3,500,500,25,0,0.05,0,439,61,38,38,25,0.0034169000064139254
4,500,500,25,0,0.05,0,439,61,38,38,25,0.003358099995239172
5,500,500,25,0,0.05,0,439,61,38,38,25,0.004417299998749513
6,500,500,25,0,0.05,0,439,61,38,38,25,0.0036342999956104904
7,500,500,25,0,0.05,0,439,61,38,38,25,0.0031586999975843355
8,500,500,25,0,0.05,0,439,61,38,38,25,0.003162299995892681
9,500,500,25,0,0.05,0,439,61,38,38,25,0.0031436999997822568
10,500,500,25,0,0.05,0,439,61,38,38,25,0.0032213000013143755
11,500,500,25,0,0.05,0,439,61,38,38,25,0.003176499994879123
12,500,500,25,0,0.05,0,439,61,38,38,25,0.003213300005882047
13,500,500,25,0,0.05,0,439,61,38,38,25,0.0031718999962322414
14,500,500,25,0,0.05,0,439,61,38,38,25,0.0031843999968259595
15,500,500,25,0,0.05,0,439,61,38,38,25,0.0031780999997863546
16,500,500,25,0,0.05,0,439,61,38,38,25,0.003158899999107234
17,500,500,25,0,0.05,0,439,61,38,38,25,0.003183799999533221
18,500,500,25,0,0.05,0,439,61,38,38,25,0.003226399996492546
19,500,500,25,0,0.05,0,439,61,38,38,25,0.003177700004016515
20,500,500,25,0,0.05,0,439,61,38,38,25,0.003165800000715535
21,500,500,25,0,0.05,0,439,61,38,38,25,0.003185100002156105
22,500,500,25,0,0.05,0,439,61,38,38,25,0.0032707999998820014
23,500,500,25,0,0.05,0,439,61,38,38,25,0.0031715999939478934
24,500,500,25,0,0.05,0,439,61,38,38,25,0.0031983000008040108
25,500,500,25,0,0.05,0,439,61,38,38,25,0.003226699998776894
26,500,500,25,0,0.05,0,439,61,38,38,25,0.0033368000003974885
27,500,500,25,0,0.05,0,439,61,38,38,25,0.0031622000024071895
28,500,500,25,0,0.05,0,439,61,38,38,25,0.0031613999963155948
29,500,500,25,0,0.05,0,439,61,38,38,25,0.0031916000007186085
0,500,500,50,0,0.1,0,413,87,25,25,50,0.004094500000064727
1,500,500,50,0,0.1,0,413,87,25,25,50,0.003971599995566066
2,500,500,50,0,0.1,0,413,87,25,25,50,0.003979799999797251
3,500,500,50,0,0.1,0,413,87,25,25,50,0.003974300001573283
4,500,500,50,0,0.1,0,413,87,25,25,50,0.0038655999960610643
5,500,500,50,0,0.1,0,413,87,25,25,50,0.0038484999968204647
6,500,500,50,0,0.1,0,413,87,25,25,50,0.003968000004533678
7,500,500,50,0,0.1,0,413,87,25,25,50,0.004019200001494028
8,500,500,50,0,0.1,0,413,87,25,25,50,0.0046065999995335005
9,500,500,50,0,0.1,0,413,87,25,25,50,0.004262800001015421
10,500,500,50,0,0.1,0,413,87,25,25,50,0.0038696999981766567
11,500,500,50,0,0.1,0,413,87,25,25,50,0.003808299996308051
12,500,500,50,0,0.1,0,413,87,25,25,50,0.003809500005445443
13,500,500,50,0,0.1,0,413,87,25,25,50,0.004073600000992883
14,500,500,50,0,0.1,0,413,87,25,25,50,0.003945699994801544
15,500,500,50,0,0.1,0,413,87,25,25,50,0.003971300000557676
16,500,500,50,0,0.1,0,413,87,25,25,50,0.004121699996176176
17,500,500,50,0,0.1,0,413,87,25,25,50,0.003978400003688876
18,500,500,50,0,0.1,0,413,87,25,25,50,0.003940999995393213
19,500,500,50,0,0.1,0,413,87,25,25,50,0.003826700005447492
20,500,500,50,0,0.1,0,413,87,25,25,50,0.004175599999143742
21,500,500,50,0,0.1,0,413,87,25,25,50,0.0041038999988813885
22,500,500,50,0,0.1,0,413,87,25,25,50,0.004097500001080334
23,500,500,50,0,0.1,0,413,87,25,25,50,0.003957199995056726
24,500,500,50,0,0.1,0,413,87,25,25,50,0.004119099998206366
25,500,500,50,0,0.1,0,413,87,25,25,50,0.004061699997691903
26,500,500,50,0,0.1,0,413,87,25,25,50,0.0040324000001419336
27,500,500,50,0,0.1,0,413,87,25,25,50,0.0038267999989329837
28,500,500,50,0,0.1,0,413,87,25,25,50,0.0038014999954611994
29,500,500,50,0,0.1,0,413,87,25,25,50,0.0037871999957133085
0,500,500,75,0,0.15,0,423,77,13,13,75,0.0051162000017939135
1,500,500,75,0,0.15,0,423,77,13,13,75,0.005343200005881954
2,500,500,75,0,0.15,0,423,77,13,13,75,0.005310399996233173
3,500,500,75,0,0.15,0,423,77,13,13,75,0.005302600002323743
4,500,500,75,0,0.15,0,423,77,13,13,75,0.005114200001116842
5,500,500,75,0,0.15,0,423,77,13,13,75,0.005237799996393733
6,500,500,75,0,0.15,0,423,77,13,13,75,0.005407699994975701
7,500,500,75,0,0.15,0,423,77,13,13,75,0.005158699997991789
8,500,500,75,0,0.15,0,423,77,13,13,75,0.00521889999799896
9,500,500,75,0,0.15,0,423,77,13,13,75,0.0051961999997729436
10,500,500,75,0,0.15,0,423,77,13,13,75,0.005095299995446112
11,500,500,75,0,0.15,0,423,77,13,13,75,0.005292000001645647
12,500,500,75,0,0.15,0,423,77,13,13,75,0.005175400001462549
13,500,500,75,0,0.15,0,423,77,13,13,75,0.006248400000913534
14,500,500,75,0,0.15,0,423,77,13,13,75,0.0055375000010826625
