Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,250,263,13,0,0.05,0,216,34,19,19,13,5.339999988791533E-4
1,250,263,13,0,0.05,0,216,34,19,19,13,5.310000051395036E-4
2,250,263,13,0,0.05,0,216,34,19,19,13,5.288000029395334E-4
3,250,263,13,0,0.05,0,216,34,19,19,13,5.30800003616605E-4
4,250,263,13,0,0.05,0,216,34,19,19,13,5.3039999329485E-4
5,250,263,13,0,0.05,0,216,34,19,19,13,5.364000026020221E-4
6,250,263,13,0,0.05,0,216,34,19,19,13,5.27900003362447E-4
7,250,263,13,0,0.05,0,216,34,19,19,13,5.258000019239262E-4
8,250,263,13,0,0.05,0,216,34,19,19,13,5.937999958405271E-4
9,250,263,13,0,0.05,0,216,34,19,19,13,5.31300000147894E-4
10,250,263,13,0,0.05,0,216,34,19,19,13,5.259000026853755E-4
11,250,263,13,0,0.05,0,216,34,19,19,13,5.241000035312027E-4
12,250,263,13,0,0.05,0,216,34,19,19,13,5.26999996509403E-4
13,250,263,13,0,0.05,0,216,34,19,19,13,5.225000058999285E-4
14,250,263,13,0,0.05,0,216,34,19,19,13,5.238000012468547E-4
15,250,263,13,0,0.05,0,216,34,19,19,13,5.257999946479686E-4
16,250,263,13,0,0.05,0,216,34,19,19,13,5.224999986239709E-4
17,250,263,13,0,0.05,0,216,34,19,19,13,5.38200001756195E-4
18,250,263,13,0,0.05,0,216,34,19,19,13,5.259000026853755E-4
19,250,263,13,0,0.05,0,216,34,19,19,13,5.205999987083487E-4
20,250,263,13,0,0.05,0,216,34,19,19,13,5.20099994901102E-4
21,250,263,13,0,0.05,0,216,34,19,19,13,5.426999996416271E-4
22,250,263,13,0,0.05,0,216,34,19,19,13,5.316999959177338E-4
23,250,263,13,0,0.05,0,216,34,19,19,13,5.273999995552003E-4
24,250,263,13,0,0.05,0,216,34,19,19,13,5.290999979479238E-4
25,250,263,13,0,0.05,0,216,34,19,19,13,5.282999991322868E-4
26,250,263,13,0,0.05,0,216,34,19,19,13,5.260999969323166E-4
27,250,263,13,0,0.05,0,216,34,19,19,13,5.309000043780543E-4
28,250,263,13,0,0.05,0,216,34,19,19,13,5.31300000147894E-4
29,250,263,13,0,0.05,0,216,34,19,19,13,5.405999982031062E-4
0,250,275,25,0,0.1,0,213,37,13,13,25,7.806000066921115E-4
1,250,275,25,0,0.1,0,213,37,13,13,25,7.717999978922307E-4
2,250,275,25,0,0.1,0,213,37,13,13,25,7.738000058452599E-4
3,250,275,25,0,0.1,0,213,37,13,13,25,7.690999991609715E-4
4,250,275,25,0,0.1,0,213,37,13,13,25,7.686000026296824E-4
5,250,275,25,0,0.1,0,213,37,13,13,25,7.664000004297122E-4
6,250,275,25,0,0.1,0,213,37,13,13,25,7.815999997546896E-4
7,250,275,25,0,0.1,0,213,37,13,13,25,8.513000066159293E-4
8,250,275,25,0,0.1,0,213,37,13,13,25,7.737000050838105E-4
9,250,275,25,0,0.1,0,213,37,13,13,25,7.723000016994774E-4
10,250,275,25,0,0.1,0,213,37,13,13,25,7.676000022911467E-4
11,250,275,25,0,0.1,0,213,37,13,13,25,7.724000024609268E-4
12,250,275,25,0,0.1,0,213,37,13,13,25,7.800999956089072E-4
13,250,275,25,0,0.1,0,213,37,13,13,25,7.738999993307516E-4
14,250,275,25,0,0.1,0,213,37,13,13,25,7.733000020380132E-4
15,250,275,25,0,0.1,0,213,37,13,13,25,7.723000016994774E-4
16,250,275,25,0,0.1,0,213,37,13,13,25,7.690999991609715E-4
17,250,275,25,0,0.1,0,213,37,13,13,25,7.656000016140752E-4
18,250,275,25,0,0.1,0,213,37,13,13,25,7.665000011911616E-4
19,250,275,25,0,0.1,0,213,37,13,13,25,7.738999993307516E-4
20,250,275,25,0,0.1,0,213,37,13,13,25,7.671999992453493E-4
21,250,275,25,0,0.1,0,213,37,13,13,25,7.669999977224506E-4
22,250,275,25,0,0.1,0,213,37,13,13,25,7.655000008526258E-4
23,250,275,25,0,0.1,0,213,37,13,13,25,7.687000033911318E-4
24,250,275,25,0,0.1,0,213,37,13,13,25,7.654000000911765E-4
25,250,275,25,0,0.1,0,213,37,13,13,25,7.685000018682331E-4
26,250,275,25,0,0.1,0,213,37,13,13,25,7.666000019526109E-4
27,250,275,25,0,0.1,0,213,37,13,13,25,7.647000020369887E-4
28,250,275,25,0,0.1,0,213,37,13,13,25,7.648999962839298E-4
29,250,275,25,0,0.1,0,213,37,13,13,25,7.742000016150996E-4
0,250,288,38,0,0.15,0,204,46,7,7,38,9.399999980814755E-4
1,250,288,38,0,0.15,0,204,46,7,7,38,9.207000039168634E-4
2,250,288,38,0,0.15,0,204,46,7,7,38,9.197999970638193E-4
3,250,288,38,0,0.15,0,204,46,7,7,38,9.246999979950488E-4
4,250,288,38,0,0.15,0,204,46,7,7,38,9.178999971481971E-4
5,250,288,38,0,0.15,0,204,46,7,7,38,9.223999950336292E-4
6,250,288,38,0,0.15,0,204,46,7,7,38,9.190999990096316E-4
7,250,288,38,0,0.15,0,204,46,7,7,38,9.135000000242144E-4
8,250,288,38,0,0.15,0,204,46,7,7,38,9.30299996980466E-4
9,250,288,38,0,0.15,0,204,46,7,7,38,9.235000034095719E-4
10,250,288,38,0,0.15,0,204,46,7,7,38,9.245000037481077E-4
11,250,288,38,0,0.15,0,204,46,7,7,38,9.224999957950786E-4
12,250,288,38,0,0.15,0,204,46,7,7,38,9.172999998554587E-4
13,250,288,38,0,0.15,0,204,46,7,7,38,9.189999982481822E-4
14,250,288,38,0,0.15,0,204,46,7,7,38,9.156000014627352E-4
15,250,288,38,0,0.15,0,204,46,7,7,38,9.189000047626905E-4
16,250,288,38,0,0.15,0,204,46,7,7,38,9.172999998554587E-4
17,250,288,38,0,0.15,0,204,46,7,7,38,9.169999975711107E-4
18,250,288,38,0,0.15,0,204,46,7,7,38,9.374999935971573E-4
19,250,288,38,0,0.15,0,204,46,7,7,38,9.299000012106262E-4
20,250,288,38,0,0.15,0,204,46,7,7,38,9.140999973169528E-4
21,250,288,38,0,0.15,0,204,46,7,7,38,9.153999999398366E-4
22,250,288,38,0,0.15,0,204,46,7,7,38,9.155999941867776E-4
23,250,288,38,0,0.15,0,204,46,7,7,38,9.156000014627352E-4
24,250,288,38,0,0.15,0,204,46,7,7,38,9.223000015481375E-4
25,250,288,38,0,0.15,0,204,46,7,7,38,9.151999984169379E-4
26,250,288,38,0,0.15,0,204,46,7,7,38,9.155000007012859E-4
27,250,288,38,0,0.15,0,204,46,7,7,38,9.337999945273623E-4
28,250,288,38,0,0.15,0,204,46,7,7,38,9.196000028168783E-4
29,250,288,38,0,0.15,0,204,46,7,7,38,9.181999994325452E-4
0,250,300,50,0,0.2,0,214,36,0,0,50,9.234000026481226E-4
1,250,300,50,0,0.2,0,214,36,0,0,50,8.966999957920052E-4
2,250,300,50,0,0.2,0,214,36,0,0,50,8.989999987534247E-4
3,250,300,50,0,0.2,0,214,36,0,0,50,8.941999985836446E-4
4,250,300,50,0,0.2,0,214,36,0,0,50,9.252000018022954E-4
5,250,300,50,0,0.2,0,214,36,0,0,50,9.105999997700565E-4
6,250,300,50,0,0.2,0,214,36,0,0,50,9.874000024865381E-4
7,250,300,50,0,0.2,0,214,36,0,0,50,9.753000049386173E-4
8,250,300,50,0,0.2,0,214,36,0,0,50,9.187999967252836E-4
9,250,300,50,0,0.2,0,214,36,0,0,50,8.920000036596321E-4
10,250,300,50,0,0.2,0,214,36,0,0,50,8.907000010367483E-4
11,250,300,50,0,0.2,0,214,36,0,0,50,8.922999986680225E-4
12,250,300,50,0,0.2,0,214,36,0,0,50,8.954000004450791E-4
13,250,300,50,0,0.2,0,214,36,0,0,50,8.945000008679926E-4
14,250,300,50,0,0.2,0,214,36,0,0,50,8.94299999345094E-4
15,250,300,50,0,0.2,0,214,36,0,0,50,9.028999993461184E-4
16,250,300,50,0,0.2,0,214,36,0,0,50,8.954000004450791E-4
17,250,300,50,0,0.2,0,214,36,0,0,50,8.908000017981976E-4
18,250,300,50,0,0.2,0,214,36,0,0,50,8.901999972295016E-4
