nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
1000,2333,50,0,0.05,94,663,337,75,75,50,0.02906610333787588,0.028522700013127178,0.0018675437778132126
1000,3506,100,0,0.1,183,747,253,50,50,100,0.07034815999795682,0.07021989999338984,0.001118108066728345
1000,4585,150,0,0.15,271,818,182,25,25,150,0.12140161333372816,0.12009909999324009,0.00434513789415852
1000,6108,200,0,0.2,369,903,97,0,0,200,0.20556935999775305,0.20192369999131188,0.009948495046430516
1250,2670,63,0,0.05,110,848,402,94,94,63,0.036296790003931774,0.0362695999792777,5.273830732027122E-4
1250,4311,125,0,0.1,226,969,281,63,63,125,0.1068850733320384,0.10645610000938177,0.002173800993183362
1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21733612333773636,0.21607659995788708,0.004993642035706264
1250,7432,250,0,0.2,455,1122,128,0,0,250,0.296969943336444,0.2966347999754362,0.004751709281065142
1500,3317,75,0,0.05,136,995,505,113,113,75,0.05489911666372791,0.054830499982926995,3.627033151382843E-4
1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15537704000986802,0.15547090000472963,0.001473235773768716
1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2964134166657459,0.2955013000173494,0.006139019430233746
1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4361845399990367,0.4326848000055179,0.010968975656975178
1750,3834,88,0,0.05,156,1168,582,132,132,88,0.07163242332753725,0.07139659998938441,7.499510390135198E-4
1750,6185,175,0,0.1,326,1320,430,88,88,175,0.2088647066654327,0.20876850001513958,0.002093197782635185
1750,8449,263,0,0.15,483,1443,307,44,44,263,0.3864253700051146,0.3861320000141859,0.0027283411233266406
1750,10481,350,0,0.2,644,1572,178,0,0,350,0.5735776833297375,0.5722250999533571,0.010885120014364175
2000,4544,100,0,0.05,185,1345,655,150,150,100,0.10153919333630862,0.10160470003029332,0.0012355691364958573
2000,7194,200,0,0.1,374,1507,493,100,100,200,0.28078260000329464,0.2800056000123732,0.004496946208257513
2000,9486,300,0,0.15,555,1665,335,50,50,300,0.49045636666899856,0.4908063000184484,0.0062805482196845
2000,11993,400,0,0.2,738,1803,197,0,0,400,0.7455699733283836,0.7454864999745041,0.004141169582977075
2250,5174,113,0,0.05,210,1525,725,169,169,113,0.13023278333712368,0.13052930001867935,0.0011811777013076067
2250,7806,225,0,0.1,409,1677,573,113,113,225,0.32945454333287977,0.328616900020279,0.0020458725742548735
2250,10368,338,0,0.15,619,1855,395,57,57,338,0.5835936566601352,0.5811166999628767,0.005313210705102675
2250,13425,450,0,0.2,816,2032,218,0,0,450,0.9359556133354393,0.9341077000135556,0.011005437767970278
2500,5494,125,0,0.05,223,1673,827,188,188,125,0.14496754333764936,0.14489570003934205,0.0017648009952787873
2500,8719,250,0,0.1,458,1878,622,125,125,250,0.4056857033322255,0.4051039000041783,0.0026598627290444032
2500,11959,375,0,0.15,692,2057,443,63,63,375,0.7717197166697588,0.7712718000402674,0.008102084462196412
2500,15439,500,0,0.2,934,2246,254,0,0,500,1.2304572700018375,1.2282456000102684,0.018481051711661707
2750,6316,138,0,0.05,260,1838,912,207,207,138,0.19039366666499216,0.1906703999848105,0.0014826456984624783
2750,9712,275,0,0.1,510,2048,702,138,138,275,0.5062498466654991,0.5065823000040837,0.003583024583645482
2750,12987,413,0,0.15,758,2261,489,69,69,413,0.9040187066673145,0.9037224999628961,0.0055452232496226205
2750,16252,550,0,0.2,998,2465,285,0,0,550,1.3583734366693534,1.3606406999751925,0.019813644401030294
3000,6830,150,0,0.05,279,2011,989,225,225,150,0.2316033500052678,0.23136279999744147,0.0033246363049525673
3000,10895,300,0,0.1,562,2238,762,150,150,300,0.6512536600038099,0.6326234000152908,0.02980548416068353
3000,14435,450,0,0.15,828,2459,541,75,75,450,1.1117947266669943,1.1106365000014193,0.00775633956841123
3000,18053,600,0,0.2,1106,2708,292,0,0,600,1.6792352966673207,1.6842161000240594,0.01600334199497795
3250,7317,163,0,0.05,296,2205,1045,244,244,163,0.25353380999489067,0.2527760000084527,0.0029490537267697634
3250,11462,325,0,0.1,598,2411,839,163,163,325,0.724149266667276,0.7245998000144027,0.013057175685150932
3250,15357,488,0,0.15,891,2688,562,82,82,488,1.2971097399985108,1.2979313000105321,0.016196907044778334
3250,19690,650,0,0.2,1198,2930,320,0,0,650,2.111928049994943,2.11735299997963,0.042975883790784264
3500,7749,175,0,0.05,317,2387,1113,263,263,175,0.2801479966709545,0.2798133000032976,0.0019363642565699253
3500,12168,350,0,0.1,644,2647,853,175,175,350,0.7855663266712024,0.7865581999649294,0.005244464850595309
