Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028123099997173995
1,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028404900047462434
2,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02859070000704378
3,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028083199984394014
4,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028576100012287498
5,1000,2333,50,0,0.05,94,663,337,75,75,50,0.027965700021013618
6,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028234400029759854
7,1000,2333,50,0,0.05,94,663,337,75,75,50,0.027917600004002452
8,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028224900015629828
9,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02772260003257543
10,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028010399953927845
11,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028853199968580157
12,1000,2333,50,0,0.05,94,663,337,75,75,50,0.0287800999940373
13,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028237299993634224
14,1000,2333,50,0,0.05,94,663,337,75,75,50,0.0334786000312306
15,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02838450000854209
16,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02918010001303628
17,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02912229998037219
18,1000,2333,50,0,0.05,94,663,337,75,75,50,0.0366803000215441
19,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02943340002093464
20,1000,2333,50,0,0.05,94,663,337,75,75,50,0.032464299991261214
21,1000,2333,50,0,0.05,94,663,337,75,75,50,0.029275699984282255
22,1000,2333,50,0,0.05,94,663,337,75,75,50,0.027641900000162423
23,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028312599984928966
24,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028006000036839396
25,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02940560004208237
26,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02901259995996952
27,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02890169998863712
28,1000,2333,50,0,0.05,94,663,337,75,75,50,0.028522700013127178
29,1000,2333,50,0,0.05,94,663,337,75,75,50,0.02843659999780357
0,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06942640000488609
1,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06966190005186945
2,1000,3506,100,0,0.1,183,747,253,50,50,100,0.069804800034035
3,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06960630003595725
4,1000,3506,100,0,0.1,183,747,253,50,50,100,0.0687675999943167
5,1000,3506,100,0,0.1,183,747,253,50,50,100,0.0705801000003703
6,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06898240000009537
7,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06864210002822801
8,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06959629995981231
9,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07004549994599074
10,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07078589999582618
11,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07016579998889938
12,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07015450001927093
13,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07005719997687265
14,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07156909996410832
15,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07424809999065474
16,1000,3506,100,0,0.1,183,747,253,50,50,100,0.06899800000246614
17,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07080250000581145
18,1000,3506,100,0,0.1,183,747,253,50,50,100,0.07210570003371686
