Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
0,250,250,13,0,0.05,0,149,101,0,0,13,5.164999747648835E-4
1,250,250,13,0,0.05,0,149,101,0,0,13,4.926000256091356E-4
2,250,250,13,0,0.05,0,149,101,0,0,13,4.656999371945858E-4
3,250,250,13,0,0.05,0,149,101,0,0,13,4.637000383809209E-4
4,250,250,13,0,0.05,0,149,101,0,0,13,4.650999326258898E-4
5,250,250,13,0,0.05,0,149,101,0,0,13,6.022999295964837E-4
6,250,250,13,0,0.05,0,149,101,0,0,13,4.814000567421317E-4
7,250,250,13,0,0.05,0,149,101,0,0,13,4.5160006266087294E-4
8,250,250,13,0,0.05,0,149,101,0,0,13,4.5329995919018984E-4
9,250,250,13,0,0.05,0,149,101,0,0,13,4.70799976028502E-4
10,250,250,13,0,0.05,0,149,101,0,0,13,4.5519997365772724E-4
11,250,250,13,0,0.05,0,149,101,0,0,13,4.667999455705285E-4
12,250,250,13,0,0.05,0,149,101,0,0,13,4.618000239133835E-4
13,250,250,13,0,0.05,0,149,101,0,0,13,4.9769994802773E-4
14,250,250,13,0,0.05,0,149,101,0,0,13,5.816000048071146E-4
15,250,250,13,0,0.05,0,149,101,0,0,13,4.694999661296606E-4
16,250,250,13,0,0.05,0,149,101,0,0,13,4.6989996917545795E-4
17,250,250,13,0,0.05,0,149,101,0,0,13,4.8210006207227707E-4
18,250,250,13,0,0.05,0,149,101,0,0,13,5.782999796792865E-4
19,250,250,13,0,0.05,0,149,101,0,0,13,4.7770002856850624E-4
20,250,250,13,0,0.05,0,149,101,0,0,13,4.8159994184970856E-4
21,250,250,13,0,0.05,0,149,101,0,0,13,5.779999773949385E-4
22,250,250,13,0,0.05,0,149,101,0,0,13,4.876999882981181E-4
23,250,250,13,0,0.05,0,149,101,0,0,13,4.610000178217888E-4
24,250,250,13,0,0.05,0,149,101,0,0,13,4.54000080935657E-4
25,250,250,13,0,0.05,0,149,101,0,0,13,4.488000413402915E-4
26,250,250,13,0,0.05,0,149,101,0,0,13,4.512999439612031E-4
27,250,250,13,0,0.05,0,149,101,0,0,13,4.926999099552631E-4
28,250,250,13,0,0.05,0,149,101,0,0,13,4.602000117301941E-4
29,250,250,13,0,0.05,0,149,101,0,0,13,4.732999950647354E-4
0,250,250,25,0,0.1,0,176,74,0,0,25,6.131000118330121E-4
1,250,250,25,0,0.1,0,176,74,0,0,25,6.194999441504478E-4
2,250,250,25,0,0.1,0,176,74,0,0,25,6.550999823957682E-4
3,250,250,25,0,0.1,0,176,74,0,0,25,6.117000011727214E-4
4,250,250,25,0,0.1,0,176,74,0,0,25,6.451000226661563E-4
5,250,250,25,0,0.1,0,176,74,0,0,25,6.307000294327736E-4
6,250,250,25,0,0.1,0,176,74,0,0,25,8.929000468924642E-4
7,250,250,25,0,0.1,0,176,74,0,0,25,5.944001022726297E-4
8,250,250,25,0,0.1,0,176,74,0,0,25,5.856999196112156E-4
9,250,250,25,0,0.1,0,176,74,0,0,25,5.825000116601586E-4
10,250,250,25,0,0.1,0,176,74,0,0,25,5.948999896645546E-4
11,250,250,25,0,0.1,0,176,74,0,0,25,6.47700042463839E-4
12,250,250,25,0,0.1,0,176,74,0,0,25,6.09799986705184E-4
13,250,250,25,0,0.1,0,176,74,0,0,25,6.876999977976084E-4
14,250,250,25,0,0.1,0,176,74,0,0,25,8.174000540748239E-4
15,250,250,25,0,0.1,0,176,74,0,0,25,5.967000033706427E-4
16,250,250,25,0,0.1,0,176,74,0,0,25,6.183000514283776E-4
17,250,250,25,0,0.1,0,176,74,0,0,25,6.052000680938363E-4
18,250,250,25,0,0.1,0,176,74,0,0,25,5.923999706283212E-4
19,250,250,25,0,0.1,0,176,74,0,0,25,5.871999310329556E-4
20,250,250,25,0,0.1,0,176,74,0,0,25,5.986000178381801E-4
21,250,250,25,0,0.1,0,176,74,0,0,25,8.051999611780047E-4
22,250,250,25,0,0.1,0,176,74,0,0,25,5.985999014228582E-4
23,250,250,25,0,0.1,0,176,74,0,0,25,5.919999675825238E-4
24,250,250,25,0,0.1,0,176,74,0,0,25,5.825000116601586E-4
25,250,250,25,0,0.1,0,176,74,0,0,25,5.815000040456653E-4
26,250,250,25,0,0.1,0,176,74,0,0,25,7.495000027120113E-4
27,250,250,25,0,0.1,0,176,74,0,0,25,6.246000993996859E-4
28,250,250,25,0,0.1,0,176,74,0,0,25,5.827000131830573E-4
29,250,250,25,0,0.1,0,176,74,0,0,25,6.174999289214611E-4
0,250,250,38,0,0.15,0,198,52,0,0,38,8.070999756455421E-4
1,250,250,38,0,0.15,0,198,52,0,0,38,9.928999934345484E-4
2,250,250,38,0,0.15,0,198,52,0,0,38,7.776001002639532E-4
3,250,250,38,0,0.15,0,198,52,0,0,38,7.966000121086836E-4
4,250,250,38,0,0.15,0,198,52,0,0,38,7.597000803798437E-4
5,250,250,38,0,0.15,0,198,52,0,0,38,7.570999441668391E-4
6,250,250,38,0,0.15,0,198,52,0,0,38,7.645000005140901E-4
7,250,250,38,0,0.15,0,198,52,0,0,38,7.642999989911914E-4
8,250,250,38,0,0.15,0,198,52,0,0,38,7.613999769091606E-4
9,250,250,38,0,0.15,0,198,52,0,0,38,7.449999684467912E-4
10,250,250,38,0,0.15,0,198,52,0,0,38,7.942999945953488E-4
11,250,250,38,0,0.15,0,198,52,0,0,38,7.680000271648169E-4
12,250,250,38,0,0.15,0,198,52,0,0,38,7.658000104129314E-4
13,250,250,38,0,0.15,0,198,52,0,0,38,7.866999367251992E-4
14,250,250,38,0,0.15,0,198,52,0,0,38,7.871999405324459E-4
15,250,250,38,0,0.15,0,198,52,0,0,38,8.010999299585819E-4
16,250,250,38,0,0.15,0,198,52,0,0,38,7.454999722540379E-4
17,250,250,38,0,0.15,0,198,52,0,0,38,7.448000833392143E-4
18,250,250,38,0,0.15,0,198,52,0,0,38,7.459999760612845E-4
19,250,250,38,0,0.15,0,198,52,0,0,38,8.302000351250172E-4
20,250,250,38,0,0.15,0,198,52,0,0,38,7.679000264033675E-4
21,250,250,38,0,0.15,0,198,52,0,0,38,7.80399888753891E-4
22,250,250,38,0,0.15,0,198,52,0,0,38,7.49400001950562E-4
23,250,250,38,0,0.15,0,198,52,0,0,38,9.017999982461333E-4
24,250,250,38,0,0.15,0,198,52,0,0,38,7.660000119358301E-4
25,250,250,38,0,0.15,0,198,52,0,0,38,7.39599927328527E-4
26,250,250,38,0,0.15,0,198,52,0,0,38,7.54099921323359E-4
27,250,250,38,0,0.15,0,198,52,0,0,38,7.606999715790153E-4
28,250,250,38,0,0.15,0,198,52,0,0,38,7.637999951839447E-4
29,250,250,38,0,0.15,0,198,52,0,0,38,7.424000650644302E-4
0,250,250,50,0,0.2,0,219,31,0,0,50,9.733999613672495E-4
