Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0050572999971336685
1,5,6,1,0,0.2,0,3,2,0,0,1,3,0.003122100002656225
2,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0028913999994983897
3,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0027109000002383254
4,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0030082000012043864
5,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002802499999233987
6,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0026189999989583157
7,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0025003000046126544
8,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0023893999969004653
9,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0024943999960669316
10,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002413399997749366
11,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002986700004839804
12,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0022689000034006312
13,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0023365000015473925
14,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0024455000020680018
15,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0022404999981517904
16,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002433799993013963
17,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0038152999986778013
18,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002287900002556853
19,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0030982999960542656
20,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0029311000034795143
21,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0024667000034241937
22,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0024102999959723093
23,5,6,1,0,0.2,0,3,2,0,0,1,3,0.00202020000142511
24,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002615099998365622
25,5,6,1,0,0.2,0,3,2,0,0,1,3,0.002322000000276603
26,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0020069000020157546
27,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0028877000004285946
28,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0025184999976772815
29,5,6,1,0,0.2,0,3,2,0,0,1,3,0.0018457999976817518
