Run,HenshinModule,HenshinUnits,inputModel,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,nRulesSucessExecuted, Time(ns) 
0,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,15681900
1,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,10427100
2,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,7773200
3,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,10004300
4,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,6496600
5,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5819500
6,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,6729600
7,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5838100
8,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,8696500
9,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5054500
10,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4636800
11,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4992200
12,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5093200
13,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4747500
14,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4310800
15,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,6457100
16,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5505600
17,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4133900
18,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,3908000
19,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4066900
20,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,3944300
21,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,4791300
22,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,7206200
23,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,8185400
24,GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,5536000
