Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
0,6,6,1,0,1,9526800
1,6,6,1,0,1,1091100
2,6,6,1,0,1,1060000
3,6,6,1,0,1,1063100
4,6,6,1,0,1,1031400
5,6,6,1,0,1,959200
6,6,6,1,0,1,869400
7,6,6,1,0,1,879200
8,6,6,1,0,1,1114800
9,6,6,1,0,1,979400
10,6,6,1,0,1,802800
11,6,6,1,0,1,838600
12,6,6,1,0,1,802600
13,6,6,1,0,1,912300
14,6,6,1,0,1,1481600
15,6,6,1,0,1,695500
16,6,6,1,0,1,703100
17,6,6,1,0,1,646800
18,6,6,1,0,1,618600
19,6,6,1,0,1,577400
20,6,6,1,0,1,552500
21,6,6,1,0,1,580200
22,6,6,1,0,1,593400
23,6,6,1,0,1,542000
24,6,6,1,0,1,542900
25,6,6,1,0,1,561400
26,6,6,1,0,1,500900
27,6,6,1,0,1,512500
28,6,6,1,0,1,503300
29,6,6,1,0,1,452900
0,30,30,3,0,3,1176500
1,30,30,3,0,3,1333600
2,30,30,3,0,3,1045600
3,30,30,3,0,3,1092400
4,30,30,3,0,3,1002700
5,30,30,3,0,3,988200
6,30,30,3,0,3,1024900
7,30,30,3,0,3,1018800
8,30,30,3,0,3,1021200
9,30,30,3,0,3,922700
10,30,30,3,0,3,1049600
11,30,30,3,0,3,885200
12,30,30,3,0,3,816200
13,30,30,3,0,3,751300
14,30,30,3,0,3,677300
15,30,30,3,0,3,646600
16,30,30,3,0,3,887300
17,30,30,3,0,3,660500
18,30,30,3,0,3,579700
19,30,30,3,0,3,570500
20,30,30,3,0,3,560400
21,30,30,3,0,3,697500
22,30,30,3,0,3,836800
23,30,30,3,0,3,528600
24,30,30,3,0,3,493000
25,30,30,3,0,3,503700
26,30,30,3,0,3,497900
27,30,30,3,0,3,479700
28,30,30,3,0,3,513200
29,30,30,3,0,3,679200
