Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
0,30,30,3,0,3,17183000
1,30,30,3,0,3,3367100
2,30,30,3,0,3,2735000
3,30,30,3,0,3,2691500
4,30,30,3,0,3,2363000
5,30,30,3,0,3,1854200
6,30,30,3,0,3,1736600
7,30,30,3,0,3,1459600
8,30,30,3,0,3,1451800
9,30,30,3,0,3,1507500
10,30,30,3,0,3,1438300
11,30,30,3,0,3,1203800
12,30,30,3,0,3,1316900
13,30,30,3,0,3,1597000
14,30,30,3,0,3,1189200
15,30,30,3,0,3,1172700
16,30,30,3,0,3,1202800
17,30,30,3,0,3,1494700
18,30,30,3,0,3,1072800
19,30,30,3,0,3,1280200
20,30,30,3,0,3,1018200
21,30,30,3,0,3,953800
22,30,30,3,0,3,1237000
23,30,30,3,0,3,898600
24,30,30,3,0,3,862700
25,30,30,3,0,3,845700
26,30,30,3,0,3,4655700
27,30,30,3,0,3,833700
28,30,30,3,0,3,738900
29,30,30,3,0,3,676300
0,5,5,1,0,1,1090100
1,5,5,1,0,1,78100
2,5,5,1,0,1,56000
3,5,5,1,0,1,48500
4,5,5,1,0,1,45600
5,5,5,1,0,1,44600
6,5,5,1,0,1,44300
7,5,5,1,0,1,50000
8,5,5,1,0,1,122300
9,5,5,1,0,1,64300
10,5,5,1,0,1,48000
11,5,5,1,0,1,45500
12,5,5,1,0,1,59300
13,5,5,1,0,1,63500
14,5,5,1,0,1,45100
15,5,5,1,0,1,50200
16,5,5,1,0,1,45000
17,5,5,1,0,1,51200
18,5,5,1,0,1,44200
19,5,5,1,0,1,81000
20,5,5,1,0,1,52700
21,5,5,1,0,1,42400
22,5,5,1,0,1,46200
23,5,5,1,0,1,44700
24,5,5,1,0,1,43100
25,5,5,1,0,1,43100
26,5,5,1,0,1,40600
27,5,5,1,0,1,40100
28,5,5,1,0,1,39700
29,5,5,1,0,1,39800
0,8,8,2,0,2,141500
1,8,8,2,0,2,65900
2,8,8,2,0,2,100600
3,8,8,2,0,2,70400
4,8,8,2,0,2,75000
5,8,8,2,0,2,75300
6,8,8,2,0,2,65900
7,8,8,2,0,2,64300
8,8,8,2,0,2,66100
9,8,8,2,0,2,64300
10,8,8,2,0,2,64900
11,8,8,2,0,2,63500
12,8,8,2,0,2,3860900
13,8,8,2,0,2,118100
14,8,8,2,0,2,64000
15,8,8,2,0,2,69600
16,8,8,2,0,2,108500
17,8,8,2,0,2,68000
18,8,8,2,0,2,128600
19,8,8,2,0,2,86500
20,8,8,2,0,2,63600
21,8,8,2,0,2,68900
22,8,8,2,0,2,77500
23,8,8,2,0,2,59400
24,8,8,2,0,2,104400
25,8,8,2,0,2,84700
26,8,8,2,0,2,58200
27,8,8,2,0,2,58600
28,8,8,2,0,2,79900
29,8,8,2,0,2,61100
0,9,9,2,0,2,82300
1,9,9,2,0,2,79700
2,9,9,2,0,2,60800
3,9,9,2,0,2,59300
4,9,9,2,0,2,64700
5,9,9,2,0,2,58900
6,9,9,2,0,2,57700
7,9,9,2,0,2,57300
8,9,9,2,0,2,57700
9,9,9,2,0,2,58500
10,9,9,2,0,2,58900
11,9,9,2,0,2,58200
12,9,9,2,0,2,95700
13,9,9,2,0,2,60100
14,9,9,2,0,2,60300
15,9,9,2,0,2,58700
16,9,9,2,0,2,62500
17,9,9,2,0,2,58600
18,9,9,2,0,2,57800
19,9,9,2,0,2,57600
20,9,9,2,0,2,65400
21,9,9,2,0,2,64500
22,9,9,2,0,2,59900
23,9,9,2,0,2,150600
24,9,9,2,0,2,60100
25,9,9,2,0,2,70100
26,9,9,2,0,2,58400
27,9,9,2,0,2,119400
28,9,9,2,0,2,60400
29,9,9,2,0,2,83400
0,6,6,2,0,2,74800
1,6,6,2,0,2,53300
2,6,6,2,0,2,50800
3,6,6,2,0,2,54000
4,6,6,2,0,2,50600
5,6,6,2,0,2,49300
6,6,6,2,0,2,53900
7,6,6,2,0,2,52900
8,6,6,2,0,2,49800
9,6,6,2,0,2,49100
10,6,6,2,0,2,50600
11,6,6,2,0,2,69100
12,6,6,2,0,2,47200
13,6,6,2,0,2,59900
14,6,6,2,0,2,43300
15,6,6,2,0,2,43200
16,6,6,2,0,2,43800
17,6,6,2,0,2,44700
18,6,6,2,0,2,45000
19,6,6,2,0,2,52100
20,6,6,2,0,2,43200
21,6,6,2,0,2,44900
22,6,6,2,0,2,41400
23,6,6,2,0,2,42100
24,6,6,2,0,2,42300
25,6,6,2,0,2,42100
26,6,6,2,0,2,52500
27,6,6,2,0,2,42400
28,6,6,2,0,2,46000
29,6,6,2,0,2,56000
0,6,6,2,0,2,65400
1,6,6,2,0,2,42900
2,6,6,2,0,2,43300
3,6,6,2,0,2,40700
4,6,6,2,0,2,40100
5,6,6,2,0,2,41400
6,6,6,2,0,2,39800
7,6,6,2,0,2,40100
8,6,6,2,0,2,38800
9,6,6,2,0,2,38600
10,6,6,2,0,2,40100
11,6,6,2,0,2,75300
12,6,6,2,0,2,51700
13,6,6,2,0,2,78600
14,6,6,2,0,2,78100
15,6,6,2,0,2,86700
16,6,6,2,0,2,48100
17,6,6,2,0,2,45900
18,6,6,2,0,2,62300
19,6,6,2,0,2,44800
20,6,6,2,0,2,44300
21,6,6,2,0,2,86300
22,6,6,2,0,2,46500
23,6,6,2,0,2,45700
24,6,6,2,0,2,44900
25,6,6,2,0,2,45800
26,6,6,2,0,2,50200
27,6,6,2,0,2,39800
28,6,6,2,0,2,41100
29,6,6,2,0,2,40200
0,6,6,2,0,2,87600
1,6,6,2,0,2,54000
2,6,6,2,0,2,45300
3,6,6,2,0,2,44200
4,6,6,2,0,2,43600
5,6,6,2,0,2,47500
6,6,6,2,0,2,43600
7,6,6,2,0,2,42900
8,6,6,2,0,2,52600
9,6,6,2,0,2,43900
10,6,6,2,0,2,43400
11,6,6,2,0,2,53200
12,6,6,2,0,2,44100
13,6,6,2,0,2,44600
14,6,6,2,0,2,43000
15,6,6,2,0,2,43200
16,6,6,2,0,2,114000
17,6,6,2,0,2,55200
18,6,6,2,0,2,48100
19,6,6,2,0,2,44700
20,6,6,2,0,2,43600
21,6,6,2,0,2,44900
22,6,6,2,0,2,44600
23,6,6,2,0,2,43900
24,6,6,2,0,2,43800
25,6,6,2,0,2,44800
26,6,6,2,0,2,43700
27,6,6,2,0,2,43200
28,6,6,2,0,2,48000
29,6,6,2,0,2,43800
0,9,9,3,0,3,72000
1,9,9,3,0,3,121300
2,9,9,3,0,3,218300
3,9,9,3,0,3,69100
4,9,9,3,0,3,64100
5,9,9,3,0,3,65400
6,9,9,3,0,3,63300
7,9,9,3,0,3,64000
8,9,9,3,0,3,124000
9,9,9,3,0,3,69700
10,9,9,3,0,3,57300
11,9,9,3,0,3,56800
12,9,9,3,0,3,61100
13,9,9,3,0,3,55700
14,9,9,3,0,3,55600
15,9,9,3,0,3,55500
16,9,9,3,0,3,58900
17,9,9,3,0,3,55500
18,9,9,3,0,3,55000
19,9,9,3,0,3,110500
20,9,9,3,0,3,92300
21,9,9,3,0,3,66200
22,9,9,3,0,3,63700
23,9,9,3,0,3,72300
24,9,9,3,0,3,67700
25,9,9,3,0,3,62600
26,9,9,3,0,3,62700
27,9,9,3,0,3,63900
28,9,9,3,0,3,63800
29,9,9,3,0,3,62800
0,24,24,7,0,7,205600
1,24,24,7,0,7,172500
2,24,24,7,0,7,265900
3,24,24,7,0,7,157000
4,24,24,7,0,7,320000
5,24,24,7,0,7,192100
6,24,24,7,0,7,255700
7,24,24,7,0,7,275700
8,24,24,7,0,7,542000
9,24,24,7,0,7,145200
10,24,24,7,0,7,160000
11,24,24,7,0,7,130800
12,24,24,7,0,7,157100
13,24,24,7,0,7,132000
14,24,24,7,0,7,130600
15,24,24,7,0,7,149600
16,24,24,7,0,7,126900
17,24,24,7,0,7,132800
18,24,24,7,0,7,128100
19,24,24,7,0,7,126700
20,24,24,7,0,7,150500
21,24,24,7,0,7,125700
22,24,24,7,0,7,129300
23,24,24,7,0,7,124700
24,24,24,7,0,7,125200
25,24,24,7,0,7,132300
26,24,24,7,0,7,209400
27,24,24,7,0,7,159800
28,24,24,7,0,7,138900
29,24,24,7,0,7,139300
0,27,27,8,0,8,299700
1,27,27,8,0,8,151700
2,27,27,8,0,8,145800
3,27,27,8,0,8,149900
4,27,27,8,0,8,144000
5,27,27,8,0,8,140400
6,27,27,8,0,8,143000
7,27,27,8,0,8,149300
8,27,27,8,0,8,140600
9,27,27,8,0,8,143900
10,27,27,8,0,8,145100
11,27,27,8,0,8,148800
12,27,27,8,0,8,146800
13,27,27,8,0,8,150700
14,27,27,8,0,8,145000
15,27,27,8,0,8,214000
16,27,27,8,0,8,177700
17,27,27,8,0,8,157100
18,27,27,8,0,8,155900
19,27,27,8,0,8,158700
20,27,27,8,0,8,148200
21,27,27,8,0,8,201200
22,27,27,8,0,8,142300
23,27,27,8,0,8,149200
24,27,27,8,0,8,138400
