nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,mean,median,sd 
30,30,3,0,3,2067943.3333333333,1316900.0,2931177.0832077377
5,5,1,0,1,86973.33333333333,46200.0,187000.46868628133
8,8,2,0,2,204606.66666666666,69600.0,679294.6581728891
9,9,2,0,2,68583.33333333333,60100.0,20377.8488124292
6,6,2,0,2,49676.666666666664,49300.0,7679.352547940194
6,6,2,0,2,50916.666666666664,44900.0,14856.26878533847
6,6,2,0,2,49433.333333333336,44600.0,14552.601905577649
9,9,3,0,3,74370.0,63900.0,32219.312531461623
24,24,7,0,7,178046.66666666666,149600.0,84525.07609513812
27,27,8,0,8,156376.66666666666,146800.0,31575.060657986956
24,24,8,0,8,146603.33333333334,135900.0,41836.01704539071
44,44,13,0,13,257176.66666666666,234600.0,62702.076963650536
5,5,1,0,1,23040.0,21700.0,4619.206281025634
5,5,1,0,1,25823.333333333332,23800.0,7741.949940996061
5,5,1,0,1,30930.0,23500.0,37894.60075877125
5,5,1,0,1,158233.33333333334,136900.0,77284.46300662392
9,9,2,0,2,43030.0,38500.0,14277.421569270366
9,9,2,0,2,43143.333333333336,39400.0,11606.512061003608
9,9,2,0,2,56793.333333333336,45100.0,32492.12143821261
9,9,2,0,2,52033.333333333336,43900.0,30104.278027475688
9,9,2,0,2,211196.66666666666,182000.0,114671.08174639712
17,17,4,0,4,184306.66666666666,146400.0,105191.28586637879
34,34,8,0,8,432370.0,383500.0,123958.78118686604
13,13,3,0,3,238610.0,193100.0,116909.19367896892
13,13,3,0,3,49903.333333333336,49200.0,2537.384918025293
5,5,1,0,1,91770.0,77400.0,38103.90312465815
9,9,2,0,2,146466.66666666666,121900.0,59592.216121086
6,6,2,0,2,30276.666666666668,28800.0,4427.767182477216
