Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
0,5,5,1,0,1,2467900
1,5,5,1,0,1,80600
2,5,5,1,0,1,65600
3,5,5,1,0,1,65400
4,5,5,1,0,1,65200
5,5,5,1,0,1,87000
6,5,5,1,0,1,65900
7,5,5,1,0,1,103900
8,5,5,1,0,1,66900
9,5,5,1,0,1,61700
10,5,5,1,0,1,63000
11,5,5,1,0,1,67300
12,5,5,1,0,1,62900
13,5,5,1,0,1,67300
14,5,5,1,0,1,61900
15,5,5,1,0,1,82900
16,5,5,1,0,1,104200
17,5,5,1,0,1,84000
18,5,5,1,0,1,76600
19,5,5,1,0,1,65900
20,5,5,1,0,1,61200
21,5,5,1,0,1,61800
22,5,5,1,0,1,69500
23,5,5,1,0,1,66300
24,5,5,1,0,1,68300
25,5,5,1,0,1,67000
26,5,5,1,0,1,67500
27,5,5,1,0,1,67800
28,5,5,1,0,1,65500
29,5,5,1,0,1,67300
0,5,5,1,0,1,1083400
1,5,5,1,0,1,101600
2,5,5,1,0,1,67500
3,5,5,1,0,1,63500
4,5,5,1,0,1,68400
5,5,5,1,0,1,57300
6,5,5,1,0,1,56700
7,5,5,1,0,1,56800
8,5,5,1,0,1,57500
9,5,5,1,0,1,57900
10,5,5,1,0,1,60300
11,5,5,1,0,1,68900
12,5,5,1,0,1,77000
13,5,5,1,0,1,60000
14,5,5,1,0,1,56800
15,5,5,1,0,1,59400
16,5,5,1,0,1,57500
17,5,5,1,0,1,58500
18,5,5,1,0,1,75600
19,5,5,1,0,1,121300
20,5,5,1,0,1,122000
21,5,5,1,0,1,67300
22,5,5,1,0,1,60400
23,5,5,1,0,1,58800
24,5,5,1,0,1,57200
25,5,5,1,0,1,57900
26,5,5,1,0,1,68400
27,5,5,1,0,1,57600
28,5,5,1,0,1,59600
29,5,5,1,0,1,56900
0,5,5,1,0,1,225400
1,5,5,1,0,1,90100
2,5,5,1,0,1,70100
3,5,5,1,0,1,77700
4,5,5,1,0,1,148400
5,5,5,1,0,1,87700
6,5,5,1,0,1,74100
7,5,5,1,0,1,83300
8,5,5,1,0,1,74300
9,5,5,1,0,1,88200
10,5,5,1,0,1,66300
11,5,5,1,0,1,67700
12,5,5,1,0,1,63300
13,5,5,1,0,1,79900
14,5,5,1,0,1,66400
15,5,5,1,0,1,58000
16,5,5,1,0,1,63800
17,5,5,1,0,1,59700
18,5,5,1,0,1,56900
19,5,5,1,0,1,89800
20,5,5,1,0,1,57900
21,5,5,1,0,1,64500
22,5,5,1,0,1,59600
23,5,5,1,0,1,61600
24,5,5,1,0,1,58800
25,5,5,1,0,1,261000
26,5,5,1,0,1,126500
27,5,5,1,0,1,347000
28,5,5,1,0,1,81600
29,5,5,1,0,1,67700
0,5,5,1,0,1,102500
1,5,5,1,0,1,70900
2,5,5,1,0,1,58900
3,5,5,1,0,1,62600
4,5,5,1,0,1,58500
5,5,5,1,0,1,71100
6,5,5,1,0,1,58900
7,5,5,1,0,1,56800
8,5,5,1,0,1,59800
9,5,5,1,0,1,54800
10,5,5,1,0,1,56200
11,5,5,1,0,1,54700
12,5,5,1,0,1,84700
13,5,5,1,0,1,61900
14,5,5,1,0,1,55900
15,5,5,1,0,1,56200
16,5,5,1,0,1,54300
17,5,5,1,0,1,57400
18,5,5,1,0,1,57600
19,5,5,1,0,1,57200
20,5,5,1,0,1,58600
21,5,5,1,0,1,58200
22,5,5,1,0,1,109100
23,5,5,1,0,1,71900
24,5,5,1,0,1,58100
25,5,5,1,0,1,62900
26,5,5,1,0,1,76800
27,5,5,1,0,1,54800
28,5,5,1,0,1,52400
29,5,5,1,0,1,55000
0,5,5,1,0,1,9671700
1,5,5,1,0,1,666400
2,5,5,1,0,1,645300
3,5,5,1,0,1,1010500
