nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,mean,median,sd 
5,5,1,0,1,150943.33333333334,67300.0,430389.75799720053
5,5,1,0,1,101066.66666666667,60000.0,183216.43000075684
5,5,1,0,1,95910.0,74100.0,65707.9008440639
5,5,1,0,1,63623.333333333336,58500.0,13422.833365409688
5,5,1,0,1,923936.6666666666,632600.0,1635078.8532429326
9,9,2,0,2,79946.66666666667,66800.0,31372.458551340147
9,9,2,0,2,97900.0,69700.0,80937.17728378391
9,9,2,0,2,94713.33333333333,78000.0,43862.236858398166
9,9,2,0,2,84963.33333333333,67400.0,43845.99931071883
9,9,2,0,2,781453.3333333334,689000.0,278296.9789431587
17,17,4,0,4,327956.6666666667,286500.0,150364.30800632914
34,34,8,0,8,963796.6666666666,669400.0,685480.726441103
13,13,3,0,3,363486.6666666667,254100.0,265211.48634417943
13,13,3,0,3,77033.33333333333,69700.0,22166.180445795246
5,5,1,0,1,285560.0,108800.0,779217.289164796
9,9,2,0,2,223360.0,188400.0,73472.56903089752
9,9,2,0,2,262243.3333333333,240600.0,58897.45146344524
