run,method,rule,inputModel,nFeatures,nRefactors,nTime 
1,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,604
2,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,65
3,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,50
4,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,38
5,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,40
6,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,35
7,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,32
8,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,32
9,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,33
10,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,30
11,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,37
12,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,33
13,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,24
14,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,27
15,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,25
16,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,27
17,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,23
18,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,23
19,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,23
20,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,21
21,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,22
22,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,23
23,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,21
24,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,23
25,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,28
26,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,20
27,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,21
28,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,21
29,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,20
30,MutexGroup,MutexGroup_Refactoring,mutex001,6,1,19
31,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
32,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,25
33,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,21
34,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,23
35,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,19
36,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
37,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,26
38,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,23
39,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,25
40,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,19
41,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,22
42,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,19
43,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
44,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
45,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,18
46,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,22
47,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
48,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,17
49,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,18
50,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,23
51,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,19
52,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,18
53,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
54,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
55,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,17
56,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,22
57,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,19
58,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,18
59,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,20
60,MutexGroup,MutexGroup_Refactoring,mutex002,11,2,17
61,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,17
62,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,21
63,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,17
64,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,19
65,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,17
66,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,19
67,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,25
68,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,19
69,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,20
70,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,17
71,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,18
72,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,21
73,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,16
74,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,15
75,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,16
76,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,16
77,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,16
78,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,16
79,MutexGroup,MutexGroup_Refactoring,mutex003,19,2,17
